Percent,Indicator,Date
0.023969999999999998,covid,20200501
0.023684,covid,20200502
0.023055000000000003,covid,20200503
0.02311,covid,20200504
0.023071,covid,20200505
0.024030000000000003,covid,20200506
0.021562,covid,20200507
0.021284,covid,20200508
0.020479,covid,20200509
0.019573,covid,20200510
0.019542,covid,20200511
0.019939,covid,20200512
0.019553,covid,20200513
0.020467,covid,20200514
0.02081,covid,20200515
0.022287,covid,20200516
0.02281,covid,20200517
0.022719999999999997,covid,20200518
0.02383,covid,20200519
0.023186000000000002,covid,20200520
0.022442,covid,20200521
0.021308,covid,20200522
0.021556,covid,20200523
0.021706,covid,20200524
0.020388999999999997,covid,20200525
0.018196,covid,20200526
0.018563,covid,20200527
0.018168,covid,20200528
0.018831999999999998,covid,20200529
0.017896000000000002,covid,20200530
0.016827,covid,20200601
0.017174000000000002,covid,20200602
0.015776,covid,20200603
0.01623,covid,20200604
0.015608000000000002,covid,20200605
0.016207,covid,20200606
0.016419,covid,20200607
0.016798,covid,20200608
0.016722,covid,20200609
0.017544,covid,20200610
0.017287999999999998,covid,20200611
0.017828999999999998,covid,20200612
0.016653,covid,20200613
0.017183,covid,20200614
0.016152,covid,20200615
0.0162,covid,20200616
0.01634,covid,20200617
0.015386000000000002,covid,20200618
0.014745,covid,20200619
0.014599,covid,20200620
0.013595,covid,20200621
0.013463,covid,20200622
0.013616999999999999,covid,20200623
0.013859999999999999,covid,20200624
0.013933000000000001,covid,20200625
0.013299,covid,20200626
0.012681,covid,20200627
0.012336,covid,20200628
0.012071,covid,20200629
0.011444,covid,20200630
0.010745999999999999,covid,20200701
0.011137000000000001,covid,20200702
0.011575,covid,20200703
0.011948,covid,20200704
0.011828,covid,20200705
0.012208,covid,20200706
0.011618999999999999,covid,20200707
0.012022,covid,20200708
0.011604000000000001,covid,20200709
0.011169,covid,20200710
0.011170000000000001,covid,20200711
0.011921,covid,20200712
0.012204000000000001,covid,20200713
0.01243,covid,20200714
0.011821,covid,20200715
0.012022,covid,20200716
0.011665,covid,20200717
0.011027,covid,20200718
0.010226,covid,20200719
0.009068999999999999,covid,20200720
0.010167,covid,20200721
0.009539,covid,20200722
0.008617,covid,20200723
0.008202,covid,20200724
0.007831999999999999,covid,20200725
0.007336,covid,20200726
0.008314,covid,20200727
0.007018000000000001,covid,20200728
0.006959,covid,20200729
0.007203,covid,20200730
0.009915,covid,20200801
0.010416,covid,20200802
0.008539,covid,20200803
0.008006000000000001,covid,20200804
0.008622,covid,20200805
0.009173,covid,20200806
0.008749,covid,20200807
0.008771,covid,20200808
0.007861,covid,20200809
0.007959,covid,20200810
0.008393000000000001,covid,20200811
0.007845,covid,20200812
0.006885,covid,20200813
0.006906,covid,20200814
0.006357,covid,20200815
0.007006,covid,20200816
0.0068980000000000005,covid,20200817
0.006956,covid,20200818
0.007281,covid,20200819
0.008376,covid,20200820
0.008393000000000001,covid,20200821
0.008928,covid,20200822
0.008598999999999999,covid,20200823
0.009653,covid,20200824
0.009685,covid,20200825
0.010667,covid,20200826
0.010668,covid,20200827
0.011235,covid,20200828
0.011646,covid,20200829
0.013712,covid,20200830
0.0144,covid,20200901
0.01529,covid,20200902
0.01712,covid,20200903
0.018054,covid,20200904
0.019132,covid,20200905
0.018905,covid,20200906
0.019617,covid,20200907
0.020975999999999998,covid,20200908
0.021279,covid,20200909
0.021547999999999998,covid,20200910
0.021258000000000003,covid,20200911
0.020934,covid,20200912
0.022101,covid,20200913
0.022921,covid,20200914
0.022468000000000002,covid,20200915
0.021773,covid,20200916
0.019491,covid,20200917
0.019190000000000002,covid,20200918
0.018853,covid,20200919
0.018179,covid,20200920
0.017943999999999998,covid,20200921
0.018226,covid,20200922
0.018298,covid,20200923
0.019118,covid,20200924
0.018915,covid,20200925
0.019247,covid,20200926
0.018236000000000002,covid,20200927
0.017089,covid,20200928
0.016115,covid,20200929
0.016212999999999998,covid,20200930
0.016346,covid,20201001
0.016253,covid,20201002
0.016121,covid,20201003
0.015312000000000001,covid,20201004
0.014661000000000002,covid,20201005
0.015087999999999999,covid,20201006
0.014116,covid,20201007
0.013405000000000002,covid,20201008
0.012922999999999999,covid,20201009
0.013965,covid,20201010
0.014522,covid,20201011
0.014806,covid,20201012
0.014008000000000001,covid,20201013
0.013897999999999999,covid,20201014
0.013233000000000002,covid,20201015
0.015571999999999999,covid,20201016
0.014849000000000001,covid,20201017
0.015356999999999999,covid,20201018
0.015600999999999999,covid,20201019
0.016138999999999997,covid,20201020
0.018179,covid,20201021
0.019356,covid,20201022
0.018237,covid,20201023
0.017743000000000002,covid,20201024
0.017721,covid,20201025
0.018016,covid,20201026
0.017882,covid,20201027
0.016923,covid,20201028
0.017427,covid,20201029
0.016753999999999998,covid,20201030
0.017838999999999997,covid,20201101
0.018026,covid,20201102
0.018205000000000002,covid,20201103
0.017321,covid,20201104
0.019412000000000002,covid,20201105
0.020084,covid,20201106
0.019827,covid,20201107
0.021072,covid,20201108
0.019343,covid,20201109
0.019561000000000002,covid,20201110
0.020488,covid,20201111
0.0194805,covid,20201112
0.020643,covid,20201113
0.020111,covid,20201114
0.019457,covid,20201115
0.020825,covid,20201116
0.022081,covid,20201117
0.02167,covid,20201118
0.019562,covid,20201119
0.020497,covid,20201120
0.020625,covid,20201121
0.021346,covid,20201122
0.021708,covid,20201123
0.020624,covid,20201124
0.021092,covid,20201125
0.022343000000000002,covid,20201126
0.022183,covid,20201127
0.022409000000000002,covid,20201128
0.022078999999999998,covid,20201129
0.022955,covid,20201130
0.023283,covid,20201201
0.023086000000000002,covid,20201202
0.023778,covid,20201203
0.022334,covid,20201204
0.023165,covid,20201205
0.023844,covid,20201206
0.022508,covid,20201207
0.02203,covid,20201208
0.022338,covid,20201209
0.021945,covid,20201210
0.02264,covid,20201211
0.021868000000000002,covid,20201212
0.020513,covid,20201213
0.020321000000000002,covid,20201214
0.020494,covid,20201215
0.01983,covid,20201216
0.018093,covid,20201217
0.017796,covid,20201218
0.017652,covid,20201219
0.017925,covid,20201220
0.018147999999999997,covid,20201221
0.01726,covid,20201222
0.017072999999999998,covid,20201223
0.018231,covid,20201224
0.018055,covid,20201225
0.017914,covid,20201226
0.017307,covid,20201227
0.017968,covid,20201228
0.018661,covid,20201229
0.018936,covid,20201230
0.018876,covid,20210101
0.018759,covid,20210102
0.020191,covid,20210103
0.019936000000000002,covid,20210104
0.019803,covid,20210105
0.021034,covid,20210106
0.020475,covid,20210107
0.020655,covid,20210108
0.021103,covid,20210109
0.020064,covid,20210110
0.019114,covid,20210111
0.019303999999999998,covid,20210112
0.017725,covid,20210113
0.017425,covid,20210114
0.017436,covid,20210115
0.016343,covid,20210116
0.016856,covid,20210117
0.016479,covid,20210118
0.016431,covid,20210119
0.016645,covid,20210120
0.016964,covid,20210121
0.016691,covid,20210122
0.01731,covid,20210123
0.016669999999999997,covid,20210124
0.0171,covid,20210125
0.016089,covid,20210126
0.015506,covid,20210127
0.015674,covid,20210128
0.016403,covid,20210129
0.016245,covid,20210130
0.016517,covid,20210201
0.017461,covid,20210202
0.018862,covid,20210203
0.017984,covid,20210204
0.018066,covid,20210205
0.018704,covid,20210206
0.01824,covid,20210207
0.017561,covid,20210208
0.01734,covid,20210209
0.016517,covid,20210210
0.015877000000000002,covid,20210211
0.015247,covid,20210212
0.015092,covid,20210213
0.016459,covid,20210214
0.016666,covid,20210215
0.016875,covid,20210216
0.01714,covid,20210217
0.018663,covid,20210218
0.018159,covid,20210219
0.018941,covid,20210220
0.018436,covid,20210221
0.018553,covid,20210222
0.019176,covid,20210223
0.019578,covid,20210224
0.026139,flu,20200501
0.026105,flu,20200502
0.026458999999999996,flu,20200503
0.026476,flu,20200504
0.026967,flu,20200505
0.027406,flu,20200506
0.02445,flu,20200507
0.024227000000000002,flu,20200508
0.023082,flu,20200509
0.022886,flu,20200510
0.022603,flu,20200511
0.022731,flu,20200512
0.022019999999999998,flu,20200513
0.022843000000000002,flu,20200514
0.02295,flu,20200515
0.024467,flu,20200516
0.024818,flu,20200517
0.024908,flu,20200518
0.026192,flu,20200519
0.025584,flu,20200520
0.024731,flu,20200521
0.023651,flu,20200522
0.023413,flu,20200523
0.022928999999999998,flu,20200524
0.020988,flu,20200525
0.018892,flu,20200526
0.019466,flu,20200527
0.019392,flu,20200528
0.019858,flu,20200529
0.019018,flu,20200530
0.017999,flu,20200601
0.018028,flu,20200602
0.016788,flu,20200603
0.017034,flu,20200604
0.016738,flu,20200605
0.017779,flu,20200606
0.018272,flu,20200607
0.01924,flu,20200608
0.019319,flu,20200609
0.020016,flu,20200610
0.019841,flu,20200611
0.020182,flu,20200612
0.018985,flu,20200613
0.019265,flu,20200614
0.017924000000000002,flu,20200615
0.018029,flu,20200616
0.018122,flu,20200617
0.01757,flu,20200618
0.016805,flu,20200619
0.01662,flu,20200620
0.016040000000000002,flu,20200621
0.015625,flu,20200622
0.015165000000000001,flu,20200623
0.015304,flu,20200624
0.015057,flu,20200625
0.014459999999999999,flu,20200626
0.013744999999999999,flu,20200627
0.01292,flu,20200628
0.012912999999999999,flu,20200629
0.012643000000000001,flu,20200630
0.011695,flu,20200701
0.012097,flu,20200702
0.013116,flu,20200703
0.013534000000000001,flu,20200704
0.013581000000000001,flu,20200705
0.013875,flu,20200706
0.013512,flu,20200707
0.014162000000000001,flu,20200708
0.013590999999999999,flu,20200709
0.012572,flu,20200710
0.012372,flu,20200711
0.01321,flu,20200712
0.013324,flu,20200713
