smoothed_trust_fam,smoothed_trust_fam_se,sample_size,country,iso_code,gid_0,survey_date
0.27956,0.006447,4896.0,Italy,ITA,ITA,20201222
0.492674,0.0048,10849.0,Japan,JPN,JPN,20201222
0.267341,0.020745,456.0,Jordan,JOR,JOR,20201222
0.2295,0.031257,182.0,Kazakhstan,KAZ,KAZ,20201222
0.555543,0.021627,530.0,Kenya,KEN,KEN,20201222
0.433072,0.042495,137.0,Kuwait,KWT,KWT,20201222
0.293361,0.032819,190.0,Lebanon,LBN,LBN,20201222
0.452112,0.032024,244.0,Libya,LBY,LBY,20201222
0.425838,0.01537,1043.0,Malaysia,MYS,MYS,20201222
0.562737,0.004409,12660.0,Mexico,MEX,MEX,20201222
0.251423,0.037657,133.0,Moldova,MDA,MDA,20201222
0.354568,0.027565,303.0,Morocco,MAR,MAR,20201222
0.584734,0.023867,427.0,Myanmar,MMR,MMR,20201222
0.514188,0.027073,344.0,Nepal,NPL,NPL,20201222
0.219333,0.009079,2088.0,Netherlands,NLD,NLD,20201222
0.309434,0.017414,709.0,New Zealand,NZL,NZL,20201222
0.543844,0.027673,326.0,Nicaragua,NIC,NIC,20201222
0.523839,0.01886,704.0,Nigeria,NGA,NGA,20201222
0.289449,0.01284,1249.0,Norway,NOR,NOR,20201222
0.518338,0.016698,898.0,Pakistan,PAK,PAK,20201222
0.275849,0.032917,201.0,Palestine,PSE,PSE,20201222
0.529876,0.025769,380.0,Panama,PAN,PAN,20201222
0.422829,0.028557,309.0,Paraguay,PRY,PRY,20201222
0.486547,0.014396,1211.0,Peru,PER,PER,20201222
0.411679,0.012038,1665.0,Philippines,PHL,PHL,20201222
0.322162,0.011962,1530.0,Poland,POL,POL,20201222
0.388644,0.013636,1331.0,Portugal,PRT,PRT,20201222
0.510188,0.019155,687.0,"Puerto Rico, U.S.",PRI,PRI,20201222
0.52678,0.052905,117.0,Qatar,QAT,QAT,20201222
0.230818,0.011975,1240.0,Romania,ROU,ROU,20201222
0.257759,0.01084,1634.0,Russia,RUS,RUS,20201222
0.437223,0.021355,540.0,Saudi Arabia,SAU,SAU,20201222
0.321043,0.021216,489.0,Serbia,SRB,SRB,20201222
0.414709,0.031705,244.0,Singapore,SGP,SGP,20201222
0.371319,0.01929,630.0,Slovakia,SVK,SVK,20201222
0.316403,0.031149,226.0,Slovenia,SVN,SVN,20201222
0.40314,0.012493,1535.0,South Africa,ZAF,ZAF,20201222
0.57777,0.014231,1206.0,South Korea,KOR,KOR,20201222
0.300153,0.008016,3273.0,Spain,ESP,ESP,20201222
0.466533,0.036576,185.0,Sri Lanka,LKA,LKA,20201222
0.380266,0.030112,262.0,Sudan,SDN,SDN,20201222
0.392819,0.008051,3677.0,Sweden,SWE,SWE,20201222
0.227295,0.014396,850.0,Switzerland,CHE,CHE,20201222
0.329706,0.009559,2430.0,Taiwan,TWN,TWN,20201222
0.545782,0.007072,4947.0,Thailand,THA,THA,20201222
0.221637,0.022287,349.0,Tunisia,TUN,TUN,20201222
0.266998,0.008806,2514.0,Turkey,TUR,TUR,20201222
0.27607,0.010151,1941.0,Ukraine,UKR,UKR,20201222
0.422642,0.024195,419.0,United Arab Emirates,ARE,ARE,20201222
