smoothed_pct_hes_waitlater,smoothed_hes_waitlater_se,sample_size,country,iso_code,gid_0,survey_date
0.491517,0.012255,1665.0,Canada,CAN,CAN,20210207
0.524691,0.016771,888.0,Chile,CHL,CHL,20210207
0.521093,0.011257,1970.0,Colombia,COL,COL,20210207
0.491379,0.035472,200.0,Costa Rica,CRI,CRI,20210207
0.46385,0.028679,301.0,Croatia,HRV,HRV,20210207
0.513439,0.01647,923.0,Czech Republic,CZE,CZE,20210207
0.442246,0.025235,387.0,Denmark,DNK,DNK,20210207
0.623174,0.027452,314.0,Dominican Republic,DOM,DOM,20210207
0.520721,0.017787,792.0,Ecuador,ECU,ECU,20210207
0.568262,0.015518,1019.0,Egypt,EGY,EGY,20210207
0.513813,0.02625,367.0,El Salvador,SLV,SLV,20210207
0.618465,0.037986,166.0,Finland,FIN,FIN,20210207
0.491031,0.007503,4442.0,France,FRA,FRA,20210207
0.490021,0.008579,3406.0,Germany,DEU,DEU,20210207
0.565979,0.029446,288.0,Ghana,GHA,GHA,20210207
0.535104,0.017646,801.0,Greece,GRC,GRC,20210207
0.468236,0.028604,312.0,Guatemala,GTM,GTM,20210207
0.522914,0.029328,298.0,Honduras,HND,HND,20210207
0.651029,0.031855,227.0,Hong Kong,HKG,HKG,20210207
0.39783,0.014571,1132.0,Hungary,HUN,HUN,20210207
0.45107,0.009371,2821.0,India,IND,IND,20210207
0.484389,0.012286,1659.0,Indonesia,IDN,IDN,20210207
0.497921,0.022286,509.0,Iraq,IRQ,IRQ,20210207
0.473345,0.031008,255.0,Ireland,IRL,IRL,20210207
0.469692,0.030376,271.0,Israel,ISR,ISR,20210207
0.391927,0.009624,2574.0,Italy,ITA,ITA,20210207
0.528688,0.004817,10741.0,Japan,JPN,JPN,20210207
0.56852,0.029161,284.0,Jordan,JOR,JOR,20210207
0.430037,0.033256,223.0,Kazakhstan,KAZ,KAZ,20210207
0.535501,0.027328,326.0,Kenya,KEN,KEN,20210207
0.591886,0.032516,229.0,Lebanon,LBN,LBN,20210207
0.510765,0.036828,185.0,Libya,LBY,LBY,20210207
0.597212,0.017629,776.0,Malaysia,MYS,MYS,20210207
0.491154,0.00708,4988.0,Mexico,MEX,MEX,20210207
0.449982,0.045363,122.0,Moldova,MDA,MDA,20210207
0.557234,0.03597,192.0,Morocco,MAR,MAR,20210207
0.545106,0.044149,129.0,Mozambique,MOZ,MOZ,20210207
0.393766,0.033147,221.0,Nepal,NPL,NPL,20210207
0.414107,0.016758,866.0,Netherlands,NLD,NLD,20210207
0.517539,0.022661,488.0,New Zealand,NZL,NZL,20210207
0.472031,0.039847,159.0,Nicaragua,NIC,NIC,20210207
0.543675,0.020976,566.0,Nigeria,NGA,NGA,20210207
0.460277,0.021699,534.0,Norway,NOR,NOR,20210207
