smoothed_trust_who,smoothed_trust_who_se,sample_size,country,iso_code,gid_0,survey_date
0.390309,0.004706,10745.0,Japan,JPN,JPN,20201222
0.311411,0.022007,444.0,Jordan,JOR,JOR,20201222
0.244027,0.032499,175.0,Kazakhstan,KAZ,KAZ,20201222
0.699945,0.020372,508.0,Kenya,KEN,KEN,20201222
0.501696,0.044138,131.0,Kuwait,KWT,KWT,20201222
0.483116,0.036474,189.0,Lebanon,LBN,LBN,20201222
0.54728,0.033152,228.0,Libya,LBY,LBY,20201222
0.583518,0.015395,1033.0,Malaysia,MYS,MYS,20201222
0.680468,0.004147,12642.0,Mexico,MEX,MEX,20201222
0.349894,0.040641,131.0,Moldova,MDA,MDA,20201222
0.480151,0.02926,293.0,Morocco,MAR,MAR,20201222
0.71996,0.022415,403.0,Myanmar,MMR,MMR,20201222
0.660956,0.0259,336.0,Nepal,NPL,NPL,20201222
0.295884,0.010047,2073.0,Netherlands,NLD,NLD,20201222
0.431222,0.018713,704.0,New Zealand,NZL,NZL,20201222
0.691692,0.025534,327.0,Nicaragua,NIC,NIC,20201222
0.66326,0.018212,676.0,Nigeria,NGA,NGA,20201222
0.482412,0.014239,1233.0,Norway,NOR,NOR,20201222
0.639718,0.016179,883.0,Pakistan,PAK,PAK,20201222
0.468228,0.037174,194.0,Palestine,PSE,PSE,20201222
0.483459,0.02573,382.0,Panama,PAN,PAN,20201222
0.45923,0.029107,302.0,Paraguay,PRY,PRY,20201222
0.535217,0.014469,1191.0,Peru,PER,PER,20201222
0.534091,0.012242,1664.0,Philippines,PHL,PHL,20201222
0.372087,0.012483,1503.0,Poland,POL,POL,20201222
0.588032,0.013791,1324.0,Portugal,PRT,PRT,20201222
0.674624,0.018127,677.0,"Puerto Rico, U.S.",PRI,PRI,20201222
0.57231,0.052377,116.0,Qatar,QAT,QAT,20201222
0.369506,0.013812,1223.0,Romania,ROU,ROU,20201222
0.305802,0.011504,1601.0,Russia,RUS,RUS,20201222
0.569785,0.021647,522.0,Saudi Arabia,SAU,SAU,20201222
0.306363,0.021228,477.0,Serbia,SRB,SRB,20201222
0.494348,0.032333,241.0,Singapore,SGP,SGP,20201222
0.314128,0.019054,596.0,Slovakia,SVK,SVK,20201222
0.309317,0.031426,217.0,Slovenia,SVN,SVN,20201222
0.463239,0.012883,1500.0,South Africa,ZAF,ZAF,20201222
0.52788,0.014506,1185.0,South Korea,KOR,KOR,20201222
0.489641,0.008721,3290.0,Spain,ESP,ESP,20201222
0.708462,0.033392,181.0,Sri Lanka,LKA,LKA,20201222
0.55623,0.031348,253.0,Sudan,SDN,SDN,20201222
0.46661,0.008291,3622.0,Sweden,SWE,SWE,20201222
0.292018,0.015683,843.0,Switzerland,CHE,CHE,20201222
0.25701,0.008896,2418.0,Taiwan,TWN,TWN,20201222
0.581729,0.007087,4847.0,Thailand,THA,THA,20201222
0.449747,0.027032,340.0,Tunisia,TUN,TUN,20201222
0.39211,0.009739,2515.0,Turkey,TUR,TUR,20201222
