smoothed_pct_hes_dontbelieve,smoothed_hes_dontbelieve_se,sample_size,country,iso_code,gid_0,survey_date
0.188577,0.016699,550.0,Bulgaria,BGR,BGR,20210207
0.167652,0.009165,1665.0,Canada,CAN,CAN,20210207
0.090677,0.009658,888.0,Chile,CHL,CHL,20210207
0.083604,0.006236,1970.0,Colombia,COL,COL,20210207
0.073889,0.018588,200.0,Costa Rica,CRI,CRI,20210207
0.208715,0.023332,301.0,Croatia,HRV,HRV,20210207
0.219929,0.013641,923.0,Czech Republic,CZE,CZE,20210207
0.174441,0.018898,387.0,Denmark,DNK,DNK,20210207
0.128615,0.01898,314.0,Dominican Republic,DOM,DOM,20210207
0.071687,0.009204,792.0,Ecuador,ECU,ECU,20210207
0.15265,0.011224,1019.0,Egypt,EGY,EGY,20210207
0.062096,0.012653,367.0,El Salvador,SLV,SLV,20210207
0.122182,0.025667,166.0,Finland,FIN,FIN,20210207
0.139648,0.005202,4442.0,France,FRA,FRA,20210207
0.162327,0.006324,3406.0,Germany,DEU,DEU,20210207
0.157021,0.021632,288.0,Ghana,GHA,GHA,20210207
0.10367,0.010791,801.0,Greece,GRC,GRC,20210207
0.182124,0.021909,312.0,Guatemala,GTM,GTM,20210207
0.093272,0.017049,298.0,Honduras,HND,HND,20210207
0.125741,0.02157,227.0,Hong Kong,HKG,HKG,20210207
0.243606,0.012783,1132.0,Hungary,HUN,HUN,20210207
0.140651,0.006557,2821.0,India,IND,IND,20210207
0.15232,0.008827,1659.0,Indonesia,IDN,IDN,20210207
0.286078,0.020157,509.0,Iraq,IRQ,IRQ,20210207
0.100304,0.018801,255.0,Ireland,IRL,IRL,20210207
0.199143,0.024367,271.0,Israel,ISR,ISR,20210207
0.089822,0.005634,2574.0,Italy,ITA,ITA,20210207
0.03582,0.001793,10741.0,Japan,JPN,JPN,20210207
0.193191,0.023764,284.0,Jordan,JOR,JOR,20210207
0.220764,0.028297,223.0,Kazakhstan,KAZ,KAZ,20210207
0.093185,0.016126,326.0,Kenya,KEN,KEN,20210207
0.111128,0.020823,229.0,Lebanon,LBN,LBN,20210207
0.164195,0.027348,185.0,Libya,LBY,LBY,20210207
0.050377,0.007861,776.0,Malaysia,MYS,MYS,20210207
0.049801,0.003081,4988.0,Mexico,MEX,MEX,20210207
