percent_hf,hf_se,percent_hf_unw,hf_se_unw,sample_size,country,iso_code,gid_0,survey_date
0.709082,0.003651,0.724444,0.003711,14977.0,Brazil,BRA,BRA,20200504
0.531676,0.016509,0.533917,0.016514,914.0,Bulgaria,BGR,BGR,20200504
0.711544,0.041888,0.738739,0.043196,111.0,Burkina Faso,BFA,BFA,20200504
0.327198,0.009405,0.374481,0.009118,2649.0,Canada,CAN,CAN,20200504
0.715884,0.009551,0.734455,0.009754,2139.0,Chile,CHL,CHL,20200504
0.764977,0.006632,0.789725,0.006901,3776.0,Colombia,COL,COL,20200504
0.726284,0.013444,0.727025,0.013456,1099.0,Costa Rica,CRI,CRI,20200504
0.791861,0.029771,0.797814,0.030093,183.0,C̫te d'Ivoire,CIV,CIV,20200504
0.486867,0.021082,0.484902,0.021084,563.0,Croatia,HRV,HRV,20200504
0.26353,0.010719,0.301527,0.01029,1834.0,Czech Republic,CZE,CZE,20200504
0.111587,0.006584,0.102588,0.006832,2125.0,Denmark,DNK,DNK,20200504
0.75088,0.015818,0.784343,0.016635,677.0,Dominican Republic,DOM,DOM,20200504
0.828012,0.007815,0.861981,0.00855,1949.0,Ecuador,ECU,ECU,20200504
0.555223,0.009711,0.558486,0.009718,2616.0,Egypt,EGY,EGY,20200504
0.761809,0.011927,0.814085,0.013059,1065.0,El Salvador,SLV,SLV,20200504
0.275908,0.012934,0.318707,0.012406,1299.0,Finland,FIN,FIN,20200504
0.411941,0.006557,0.445798,0.006493,5747.0,France,FRA,FRA,20200504
0.357913,0.006977,0.403438,0.006818,4945.0,Germany,DEU,DEU,20200504
0.497659,0.026537,0.526761,0.026574,355.0,Ghana,GHA,GHA,20200504
0.679174,0.013299,0.681596,0.013326,1228.0,Greece,GRC,GRC,20200504
0.811216,0.01191,0.797368,0.011595,1140.0,Guatemala,GTM,GTM,20200504
0.895878,0.011664,0.84984,0.009972,939.0,Honduras,HND,HND,20200504
0.341391,0.031853,0.375,0.031199,232.0,Hong Kong,HKG,HKG,20200504
0.531457,0.008602,0.542474,0.008616,3355.0,Hungary,HUN,HUN,20200504
0.526565,0.00765,0.528528,0.007652,4259.0,India,IND,IND,20200504
0.682491,0.007183,0.697385,0.007279,4091.0,Indonesia,IDN,IDN,20200504
0.665402,0.018447,0.663623,0.018423,657.0,Iraq,IRQ,IRQ,20200504
0.297005,0.013382,0.332258,0.012981,1240.0,Ireland,IRL,IRL,20200504
0.51234,0.015102,0.505925,0.015098,1097.0,Israel,ISR,ISR,20200504
0.449346,0.006504,0.47728,0.006478,5898.0,Italy,ITA,ITA,20200504
0.438159,0.005027,0.45257,0.005011,9804.0,Japan,JPN,JPN,20200504
