smoothed_pct_hes_religious,smoothed_hes_religious_se,sample_size,country,iso_code,gid_0,survey_date
0.024736,0.003814,1665.0,Canada,CAN,CAN,20210207
0.020214,0.004706,888.0,Chile,CHL,CHL,20210207
0.014942,0.002735,1970.0,Colombia,COL,COL,20210207
0.025293,0.011158,200.0,Costa Rica,CRI,CRI,20210207
0.007075,0.004845,301.0,Croatia,HRV,HRV,20210207
0.013984,0.003862,923.0,Czech Republic,CZE,CZE,20210207
0.005647,0.003931,387.0,Denmark,DNK,DNK,20210207
0.014255,0.006616,314.0,Dominican Republic,DOM,DOM,20210207
0.011585,0.003842,792.0,Ecuador,ECU,ECU,20210207
0.017266,0.004094,1019.0,Egypt,EGY,EGY,20210207
0.010093,0.004992,367.0,El Salvador,SLV,SLV,20210207
0.008908,0.007327,166.0,Finland,FIN,FIN,20210207
0.004518,0.001007,4442.0,France,FRA,FRA,20210207
0.015115,0.002101,3406.0,Germany,DEU,DEU,20210207
0.012883,0.006665,288.0,Ghana,GHA,GHA,20210207
0.012585,0.003908,801.0,Greece,GRC,GRC,20210207
0.04677,0.012325,312.0,Guatemala,GTM,GTM,20210207
0.013405,0.006734,298.0,Honduras,HND,HND,20210207
0.00697,0.005592,227.0,Hong Kong,HKG,HKG,20210207
0.018381,0.004011,1132.0,Hungary,HUN,HUN,20210207
0.009914,0.001879,2821.0,India,IND,IND,20210207
0.035883,0.004571,1659.0,Indonesia,IDN,IDN,20210207
0.015669,0.005693,509.0,Iraq,IRQ,IRQ,20210207
0.015168,0.007707,255.0,Ireland,IRL,IRL,20210207
0.040082,0.01203,271.0,Israel,ISR,ISR,20210207
0.004711,0.001349,2574.0,Italy,ITA,ITA,20210207
0.002321,0.000465,10741.0,Japan,JPN,JPN,20210207
0.002888,0.003248,284.0,Jordan,JOR,JOR,20210207
0.0,0.0,223.0,Kazakhstan,KAZ,KAZ,20210207
0.027635,0.009146,326.0,Kenya,KEN,KEN,20210207
0.020249,0.009337,229.0,Lebanon,LBN,LBN,20210207
0.007016,0.006438,185.0,Libya,LBY,LBY,20210207
0.021451,0.005208,776.0,Malaysia,MYS,MYS,20210207
0.010903,0.001473,4988.0,Mexico,MEX,MEX,20210207
0.015621,0.011327,122.0,Moldova,MDA,MDA,20210207
0.009598,0.007458,192.0,Morocco,MAR,MAR,20210207
0.005773,0.00654,129.0,Mozambique,MOZ,MOZ,20210207
0.004466,0.00426,221.0,Nepal,NPL,NPL,20210207
0.033067,0.006078,866.0,Netherlands,NLD,NLD,20210207
