smoothed_trust_govt,smoothed_trust_govt_se,sample_size,country,iso_code,gid_0,survey_date
0.463684,0.00481,10749.0,Japan,JPN,JPN,20201222
0.300812,0.021834,443.0,Jordan,JOR,JOR,20201222
0.181099,0.029301,175.0,Kazakhstan,KAZ,KAZ,20201222
0.57957,0.021972,507.0,Kenya,KEN,KEN,20201222
0.508965,0.04466,128.0,Kuwait,KWT,KWT,20201222
0.290715,0.033492,186.0,Lebanon,LBN,LBN,20201222
0.499597,0.033579,226.0,Libya,LBY,LBY,20201222
0.590326,0.015368,1030.0,Malaysia,MYS,MYS,20201222
0.543474,0.004443,12569.0,Mexico,MEX,MEX,20201222
0.183079,0.034453,125.0,Moldova,MDA,MDA,20201222
0.47002,0.029274,293.0,Morocco,MAR,MAR,20201222
0.711662,0.022466,408.0,Myanmar,MMR,MMR,20201222
0.490584,0.027202,335.0,Nepal,NPL,NPL,20201222
0.286881,0.009995,2057.0,Netherlands,NLD,NLD,20201222
0.456562,0.018716,709.0,New Zealand,NZL,NZL,20201222
0.385181,0.027125,324.0,Nicaragua,NIC,NIC,20201222
0.502187,0.019414,666.0,Nigeria,NGA,NGA,20201222
0.566436,0.014013,1253.0,Norway,NOR,NOR,20201222
0.550983,0.016799,879.0,Pakistan,PAK,PAK,20201222
0.335219,0.035372,192.0,Palestine,PSE,PSE,20201222
0.50026,0.025719,380.0,Panama,PAN,PAN,20201222
0.354826,0.028372,295.0,Paraguay,PRY,PRY,20201222
0.453741,0.014506,1188.0,Peru,PER,PER,20201222
0.426987,0.012157,1660.0,Philippines,PHL,PHL,20201222
0.236861,0.011027,1490.0,Poland,POL,POL,20201222
0.499268,0.014042,1315.0,Portugal,PRT,PRT,20201222
0.592978,0.019225,662.0,"Puerto Rico, U.S.",PRI,PRI,20201222
0.642381,0.052827,114.0,Qatar,QAT,QAT,20201222
0.289311,0.013051,1209.0,Romania,ROU,ROU,20201222
0.203484,0.010153,1579.0,Russia,RUS,RUS,20201222
0.56519,0.021751,525.0,Saudi Arabia,SAU,SAU,20201222
0.234062,0.019505,478.0,Serbia,SRB,SRB,20201222
0.547287,0.03174,245.0,Singapore,SGP,SGP,20201222
0.237285,0.017425,593.0,Slovakia,SVK,SVK,20201222
0.234127,0.029036,214.0,Slovenia,SVN,SVN,20201222
0.390331,0.012616,1495.0,South Africa,ZAF,ZAF,20201222
0.588619,0.014269,1191.0,South Korea,KOR,KOR,20201222
0.451984,0.008686,3288.0,Spain,ESP,ESP,20201222
0.588056,0.036109,179.0,Sri Lanka,LKA,LKA,20201222
0.440877,0.031478,251.0,Sudan,SDN,SDN,20201222
0.443308,0.008258,3621.0,Sweden,SWE,SWE,20201222
0.330874,0.016202,845.0,Switzerland,CHE,CHE,20201222
0.380439,0.009884,2420.0,Taiwan,TWN,TWN,20201222
0.574563,0.007074,4886.0,Thailand,THA,THA,20201222
0.309947,0.0254,334.0,Tunisia,TUN,TUN,20201222
0.396563,0.009719,2534.0,Turkey,TUR,TUR,20201222
0.234376,0.00979,1874.0,Ukraine,UKR,UKR,20201222
0.546287,0.024481,415.0,United Arab Emirates,ARE,ARE,20201222
0.385307,0.008566,3230.0,United Kingdom,GBR,GBR,20201222
0.443588,0.015838,994.0,Uruguay,URY,URY,20201222
0.334387,0.044655,110.0,Uzbekistan,UZB,UZB,20201222
0.372571,0.015337,1016.0,Venezuela,VEN,VEN,20201222
