smoothed_trust_healthcare,smoothed_trust_healthcare_se,sample_size,country,iso_code,gid_0,survey_date
0.566279,0.004775,10771.0,Japan,JPN,JPN,20201222
0.317551,0.022048,446.0,Jordan,JOR,JOR,20201222
0.14886,0.026826,178.0,Kazakhstan,KAZ,KAZ,20201222
0.599142,0.022297,485.0,Kenya,KEN,KEN,20201222
0.539767,0.043497,134.0,Kuwait,KWT,KWT,20201222
0.401614,0.036161,185.0,Lebanon,LBN,LBN,20201222
0.552762,0.033203,229.0,Libya,LBY,LBY,20201222
0.541746,0.015612,1025.0,Malaysia,MYS,MYS,20201222
0.630361,0.004319,12489.0,Mexico,MEX,MEX,20201222
0.289556,0.039135,133.0,Moldova,MDA,MDA,20201222
0.509893,0.029198,296.0,Morocco,MAR,MAR,20201222
0.675429,0.023067,414.0,Myanmar,MMR,MMR,20201222
0.556951,0.027241,332.0,Nepal,NPL,NPL,20201222
0.294355,0.010024,2076.0,Netherlands,NLD,NLD,20201222
0.498851,0.018807,709.0,New Zealand,NZL,NZL,20201222
0.49498,0.028318,313.0,Nicaragua,NIC,NIC,20201222
0.490537,0.0196,649.0,Nigeria,NGA,NGA,20201222
0.458594,0.014202,1233.0,Norway,NOR,NOR,20201222
0.455849,0.016876,866.0,Pakistan,PAK,PAK,20201222
0.391952,0.036671,192.0,Palestine,PSE,PSE,20201222
0.569874,0.025877,369.0,Panama,PAN,PAN,20201222
0.452358,0.029792,289.0,Paraguay,PRY,PRY,20201222
0.503177,0.014621,1177.0,Peru,PER,PER,20201222
0.457946,0.012314,1640.0,Philippines,PHL,PHL,20201222
0.365849,0.012407,1510.0,Poland,POL,POL,20201222
0.595871,0.013763,1321.0,Portugal,PRT,PRT,20201222
0.722808,0.017458,667.0,"Puerto Rico, U.S.",PRI,PRI,20201222
0.626411,0.053208,115.0,Qatar,QAT,QAT,20201222
0.417696,0.014011,1241.0,Romania,ROU,ROU,20201222
0.264799,0.011056,1597.0,Russia,RUS,RUS,20201222
0.557039,0.021844,518.0,Saudi Arabia,SAU,SAU,20201222
0.343767,0.021767,483.0,Serbia,SRB,SRB,20201222
0.592531,0.031661,240.0,Singapore,SGP,SGP,20201222
0.425403,0.020149,604.0,Slovakia,SVK,SVK,20201222
0.435953,0.033558,220.0,Slovenia,SVN,SVN,20201222
0.466177,0.012929,1490.0,South Africa,ZAF,ZAF,20201222
0.629654,0.013995,1191.0,South Korea,KOR,KOR,20201222
0.623386,0.008453,3288.0,Spain,ESP,ESP,20201222
0.56225,0.036018,178.0,Sri Lanka,LKA,LKA,20201222
0.459703,0.031705,248.0,Sudan,SDN,SDN,20201222
0.515925,0.008267,3657.0,Sweden,SWE,SWE,20201222
0.359587,0.016514,847.0,Switzerland,CHE,CHE,20201222
0.560646,0.010087,2429.0,Taiwan,TWN,TWN,20201222
0.554761,0.007129,4862.0,Thailand,THA,THA,20201222
0.336726,0.025226,352.0,Tunisia,TUN,TUN,20201222
0.377669,0.009755,2475.0,Turkey,TUR,TUR,20201222
0.310205,0.010646,1890.0,Ukraine,UKR,UKR,20201222
0.490536,0.024663,412.0,United Arab Emirates,ARE,ARE,20201222
0.508253,0.008796,3231.0,United Kingdom,GBR,GBR,20201222
0.509642,0.015995,987.0,Uruguay,URY,URY,20201222
0.305144,0.045024,104.0,Uzbekistan,UZB,UZB,20201222
0.519056,0.015788,1011.0,Venezuela,VEN,VEN,20201222
0.512906,0.011746,1808.0,Vietnam,VNM,VNM,20201222
0.287877,0.044186,108.0,Yemen,YEM,YEM,20201222
0.549482,0.032278,236.0,Afghanistan,AFG,AFG,20201223
0.420974,0.040169,150.0,Albania,ALB,ALB,20201223
0.35715,0.018158,699.0,Algeria,DZA,DZA,20201223
0.606599,0.046381,113.0,Angola,AGO,AGO,20201223
0.574476,0.006945,5089.0,Argentina,ARG,ARG,20201223
0.522267,0.008122,3802.0,Australia,AUS,AUS,20201223
0.342037,0.012371,1474.0,Austria,AUT,AUT,20201223
0.216569,0.028138,217.0,Azerbaijan,AZE,AZE,20201223
0.562164,0.015407,1047.0,Bangladesh,BGD,BGD,20201223
0.200185,0.016895,555.0,Belarus,BLR,BLR,20201223
0.406026,0.012617,1574.0,Belgium,BEL,BEL,20201223
0.549838,0.013521,1357.0,Bolivia,BOL,BOL,20201223
0.312433,0.030718,250.0,Bosnia and Herzegovina,BIH,BIH,20201223
0.682922,0.002823,27181.0,Brazil,BRA,BRA,20201223
0.344217,0.017121,772.0,Bulgaria,BGR,BGR,20201223
0.46487,0.045023,125.0,Cambodia,KHM,KHM,20201223
0.522593,0.006533,5860.0,Canada,CAN,CAN,20201223
0.569434,0.009574,2679.0,Chile,CHL,CHL,20201223
0.608974,0.006328,5946.0,Colombia,COL,COL,20201223
0.672948,0.013547,1199.0,Costa Rica,CRI,CRI,20201223
0.458838,0.045811,120.0,C̫te d'Ivoire,CIV,CIV,20201223
0.336979,0.01669,808.0,Croatia,HRV,HRV,20201223
0.367286,0.011836,1661.0,Czech Republic,CZE,CZE,20201223
0.492293,0.009378,2843.0,Denmark,DNK,DNK,20201223
0.43554,0.017866,773.0,Dominican Republic,DOM,DOM,20201223
0.522164,0.010677,2191.0,Ecuador,ECU,ECU,20201223
0.446005,0.008439,3466.0,Egypt,EGY,EGY,20201223
0.565559,0.016273,938.0,El Salvador,SLV,SLV,20201223
0.586527,0.038188,169.0,Ethiopia,ETH,ETH,20201223
0.536907,0.017886,787.0,Finland,FIN,FIN,20201223
0.430799,0.005586,7881.0,France,FRA,FRA,20201223
0.390833,0.004911,9874.0,Germany,DEU,DEU,20201223
0.444645,0.026449,358.0,Ghana,GHA,GHA,20201223
0.466593,0.013403,1405.0,Greece,GRC,GRC,20201223
0.577974,0.016283,920.0,Guatemala,GTM,GTM,20201223
0.519679,0.02074,570.0,Honduras,HND,HND,20201223
0.469293,0.019442,666.0,Hong Kong,HKG,HKG,20201223
0.347042,0.008766,2953.0,Hungary,HUN,HUN,20201223
0.545625,0.005258,8975.0,India,IND,IND,20201223
0.377308,0.00713,4625.0,Indonesia,IDN,IDN,20201223
0.422571,0.014851,1115.0,Iraq,IRQ,IRQ,20201223
0.528425,0.014001,1274.0,Ireland,IRL,IRL,20201223
0.464314,0.012058,1797.0,Israel,ISR,ISR,20201223
0.601195,0.005216,8854.0,Italy,ITA,ITA,20201223
0.574075,0.003688,17975.0,Japan,JPN,JPN,20201223
0.31953,0.016785,777.0,Jordan,JOR,JOR,20201223
0.180926,0.022105,302.0,Kazakhstan,KAZ,KAZ,20201223
0.580595,0.01699,845.0,Kenya,KEN,KEN,20201223
0.451343,0.032897,226.0,Kuwait,KWT,KWT,20201223
0.296118,0.040849,124.0,Kyrgyzstan,KGZ,KGZ,20201223
0.370076,0.025878,352.0,Lebanon,LBN,LBN,20201223
0.544922,0.024755,411.0,Libya,LBY,LBY,20201223
0.526577,0.011998,1737.0,Malaysia,MYS,MYS,20201223
0.636894,0.003302,21203.0,Mexico,MEX,MEX,20201223
0.266591,0.027586,257.0,Moldova,MDA,MDA,20201223
0.471941,0.021567,536.0,Morocco,MAR,MAR,20201223
0.662005,0.01784,706.0,Myanmar,MMR,MMR,20201223
0.580976,0.020461,581.0,Nepal,NPL,NPL,20201223
0.295956,0.007517,3727.0,Netherlands,NLD,NLD,20201223
0.517594,0.014422,1202.0,New Zealand,NZL,NZL,20201223
0.503923,0.022525,495.0,Nicaragua,NIC,NIC,20201223
0.49693,0.014782,1145.0,Nigeria,NGA,NGA,20201223
0.458606,0.010624,2205.0,Norway,NOR,NOR,20201223
0.519766,0.048657,107.0,Oman,OMN,OMN,20201223
0.479556,0.012317,1637.0,Pakistan,PAK,PAK,20201223
0.372683,0.027613,325.0,Palestine,PSE,PSE,20201223
0.579206,0.020301,595.0,Panama,PAN,PAN,20201223
0.516192,0.022799,484.0,Paraguay,PRY,PRY,20201223
0.510338,0.011315,1960.0,Peru,PER,PER,20201223
0.455699,0.009394,2815.0,Philippines,PHL,PHL,20201223
0.375481,0.009343,2691.0,Poland,POL,POL,20201223
0.605419,0.010005,2437.0,Portugal,PRT,PRT,20201223
0.711817,0.013161,1207.0,"Puerto Rico, U.S.",PRI,PRI,20201223
0.57594,0.039937,186.0,Qatar,QAT,QAT,20201223
0.413571,0.010407,2242.0,Romania,ROU,ROU,20201223
0.2556,0.008346,2743.0,Russia,RUS,RUS,20201223
0.535123,0.016722,891.0,Saudi Arabia,SAU,SAU,20201223
0.323736,0.015933,878.0,Serbia,SRB,SRB,20201223
0.552667,0.024237,423.0,Singapore,SGP,SGP,20201223
0.441763,0.014908,1112.0,Slovakia,SVK,SVK,20201223
0.410831,0.024352,410.0,Slovenia,SVN,SVN,20201223
0.468242,0.00952,2754.0,South Africa,ZAF,ZAF,20201223
0.660118,0.010791,1914.0,South Korea,KOR,KOR,20201223
0.613626,0.006431,5732.0,Spain,ESP,ESP,20201223
0.517394,0.027562,318.0,Sri Lanka,LKA,LKA,20201223
0.429788,0.023867,430.0,Sudan,SDN,SDN,20201223
0.520312,0.006216,6488.0,Sweden,SWE,SWE,20201223
0.351508,0.012171,1544.0,Switzerland,CHE,CHE,20201223
0.556404,0.007673,4202.0,Taiwan,TWN,TWN,20201223
0.55546,0.005419,8411.0,Thailand,THA,THA,20201223
0.406465,0.019236,638.0,Tunisia,TUN,TUN,20201223
0.36335,0.007282,4366.0,Turkey,TUR,TUR,20201223
0.301773,0.007853,3419.0,Ukraine,UKR,UKR,20201223
0.483775,0.019442,666.0,United Arab Emirates,ARE,ARE,20201223
0.498223,0.00648,5957.0,United Kingdom,GBR,GBR,20201223
0.546856,0.012121,1685.0,Uruguay,URY,URY,20201223
0.298491,0.035261,170.0,Uzbekistan,UZB,UZB,20201223
0.514663,0.012444,1626.0,Venezuela,VEN,VEN,20201223
0.52599,0.008994,3079.0,Vietnam,VNM,VNM,20201223
0.324735,0.033237,201.0,Yemen,YEM,YEM,20201223
0.532191,0.028499,309.0,Afghanistan,AFG,AFG,20201224
0.440337,0.034038,212.0,Albania,ALB,ALB,20201224
0.36153,0.014948,1037.0,Algeria,DZA,DZA,20201224
0.601111,0.040132,152.0,Angola,AGO,AGO,20201224
0.573411,0.005988,6887.0,Argentina,ARG,ARG,20201224
0.264371,0.043564,106.0,Armenia,ARM,ARM,20201224
0.518478,0.007098,4985.0,Australia,AUS,AUS,20201224
0.338293,0.010614,1992.0,Austria,AUT,AUT,20201224
0.212841,0.023831,299.0,Azerbaijan,AZE,AZE,20201224
0.560216,0.012657,1560.0,Bangladesh,BGD,BGD,20201224
0.213461,0.014913,759.0,Belarus,BLR,BLR,20201224
0.402533,0.010726,2163.0,Belgium,BEL,BEL,20201224
0.563417,0.011701,1797.0,Bolivia,BOL,BOL,20201224
0.318109,0.025401,367.0,Bosnia and Herzegovina,BIH,BIH,20201224
0.683242,0.002449,36095.0,Brazil,BRA,BRA,20201224
0.354948,0.014484,1099.0,Bulgaria,BGR,BGR,20201224
0.417904,0.036393,184.0,Cambodia,KHM,KHM,20201224
0.39443,0.039455,145.0,Cameroon,CMR,CMR,20201224
0.518611,0.005574,8052.0,Canada,CAN,CAN,20201224
0.574193,0.008202,3639.0,Chile,CHL,CHL,20201224
0.607603,0.005518,7839.0,Colombia,COL,COL,20201224
0.690217,0.011318,1669.0,Costa Rica,CRI,CRI,20201224
0.437872,0.037077,182.0,C̫te d'Ivoire,CIV,CIV,20201224
0.338574,0.014181,1121.0,Croatia,HRV,HRV,20201224
0.367864,0.009957,2349.0,Czech Republic,CZE,CZE,20201224
0.486026,0.008211,3745.0,Denmark,DNK,DNK,20201224
0.44063,0.015537,1026.0,Dominican Republic,DOM,DOM,20201224
0.513741,0.009368,2860.0,Ecuador,ECU,ECU,20201224
0.44557,0.007075,4948.0,Egypt,EGY,EGY,20201224
0.575763,0.01392,1271.0,El Salvador,SLV,SLV,20201224
0.594368,0.032434,233.0,Ethiopia,ETH,ETH,20201224
0.556305,0.015227,1081.0,Finland,FIN,FIN,20201224
0.415695,0.004763,10709.0,France,FRA,FRA,20201224
0.389612,0.004201,13489.0,Germany,DEU,DEU,20201224
0.433677,0.022585,488.0,Ghana,GHA,GHA,20201224
0.468984,0.01137,1948.0,Greece,GRC,GRC,20201224
0.566389,0.014263,1218.0,Guatemala,GTM,GTM,20201224
0.512657,0.017877,772.0,Honduras,HND,HND,20201224
0.466173,0.016537,919.0,Hong Kong,HKG,HKG,20201224
0.344587,0.007424,4102.0,Hungary,HUN,HUN,20201224
0.547107,0.004447,12543.0,India,IND,IND,20201224
0.373482,0.006004,6505.0,Indonesia,IDN,IDN,20201224
0.421977,0.012545,1576.0,Iraq,IRQ,IRQ,20201224
0.536167,0.011929,1755.0,Ireland,IRL,IRL,20201224
0.467911,0.010095,2538.0,Israel,ISR,ISR,20201224
