smoothed_modified_acceptance,smoothed_modified_acceptance_se,sample_size,country,iso_code,gid_0,survey_date
0.475490319892327,0.04969204924560785,102.0,Albania,ALB,ALB,20210105
0.37882757846623694,0.023927976085769933,412.0,Algeria,DZA,DZA,20210105
0.6480169882149492,0.007810454641800799,3740.0,Argentina,ARG,ARG,20210105
0.7708063580417328,0.009094384313995259,2137.0,Australia,AUS,AUS,20210105
0.6737894891140678,0.015398244953632659,928.0,Austria,AUT,AUT,20210105
0.810151622204365,0.017863357058584804,483.0,Bangladesh,BGD,BGD,20210105
0.4200207209921616,0.02835438830940662,304.0,Belarus,BLR,BLR,20210105
0.7424458415407978,0.014657897128314203,891.0,Belgium,BEL,BEL,20210105
0.6751483163126163,0.015576071792724147,905.0,Bolivia,BOL,BOL,20210105
0.5991155907698457,0.04042092302432487,148.0,Bosnia and Herzegovina,BIH,BIH,20210105
0.7588668904966571,0.003349224871504788,16314.0,Brazil,BRA,BRA,20210105
0.5055728181486125,0.02318550454175328,466.0,Bulgaria,BGR,BGR,20210105
0.7736435513165809,0.00763132899189415,3008.0,Canada,CAN,CAN,20210105
0.7187441720048922,0.011472084188762121,1537.0,Chile,CHL,CHL,20210105
0.7149813571883058,0.007442504380191114,3680.0,Colombia,COL,COL,20210105
0.8165488569283503,0.015122745680331732,656.0,Costa Rica,CRI,CRI,20210105
0.4939803292938434,0.04974825371974627,102.0,C̫te d'Ivoire,CIV,CIV,20210105
0.6043771627042713,0.022295753858903537,482.0,Croatia,HRV,HRV,20210105
0.6631708713974264,0.01329364279897043,1265.0,Czech Republic,CZE,CZE,20210105
0.8836301675222501,0.007221077673179686,1973.0,Denmark,DNK,DNK,20210105
0.6114210732721115,0.02087909030105956,546.0,Dominican Republic,DOM,DOM,20210105
0.6913948420623617,0.013716968161676021,1135.0,Ecuador,ECU,ECU,20210105
0.5988575455294071,0.01194727935855032,1684.0,Egypt,EGY,EGY,20210105
0.7460328529079272,0.018296142369381645,567.0,El Salvador,SLV,SLV,20210105
0.8514247672480328,0.016529352971090736,464.0,Finland,FIN,FIN,20210105
0.604390489350541,0.006863950602856485,5076.0,France,FRA,FRA,20210105
0.7405540994291991,0.00591206136418716,5498.0,Germany,DEU,DEU,20210105
0.6411926982705325,0.035456786748527085,184.0,Ghana,GHA,GHA,20210105
0.7217837734377723,0.015325396795744668,856.0,Greece,GRC,GRC,20210105
0.7799896824647866,0.01735116041992624,571.0,Guatemala,GTM,GTM,20210105
0.7484105903599554,0.021916596229764246,393.0,Honduras,HND,HND,20210105
0.5730353232799628,0.030158555078723517,270.0,Hong Kong,HKG,HKG,20210105
0.5887000639957884,0.011022312330698824,1994.0,Hungary,HUN,HUN,20210105
0.6993930945695329,0.007164405727839654,4097.0,India,IND,IND,20210105
0.6678699631415075,0.008974661245508378,2755.0,Indonesia,IDN,IDN,20210105
0.4970712861250679,0.021989597621361733,518.0,Iraq,IRQ,IRQ,20210105
0.8471824338938055,0.01113588817112245,1045.0,Ireland,IRL,IRL,20210105
0.8076664918370925,0.011072742537832315,1268.0,Israel,ISR,ISR,20210105
0.8629800496890518,0.004410744821401665,6079.0,Italy,ITA,ITA,20210105
0.7141921313605398,0.004527273742245456,9960.0,Japan,JPN,JPN,20210105
0.4123122903826453,0.02681461056972711,338.0,Jordan,JOR,JOR,20210105
0.3659752224342792,0.03580466951540689,182.0,Kazakhstan,KAZ,KAZ,20210105
0.7561996226048859,0.018341934392465467,549.0,Kenya,KEN,KEN,20210105
