smoothed_pct_hes_sideeffects,smoothed_hes_sideeffects_se,sample_size,country,iso_code,gid_0,survey_date
0.436984,0.021172,550.0,Bulgaria,BGR,BGR,20210207
0.553824,0.012187,1665.0,Canada,CAN,CAN,20210207
0.616716,0.016362,888.0,Chile,CHL,CHL,20210207
0.632524,0.010833,1970.0,Colombia,COL,COL,20210207
0.515306,0.035372,200.0,Costa Rica,CRI,CRI,20210207
0.518632,0.028898,301.0,Croatia,HRV,HRV,20210207
0.430723,0.016304,923.0,Czech Republic,CZE,CZE,20210207
0.546219,0.025416,387.0,Denmark,DNK,DNK,20210207
0.590369,0.02786,314.0,Dominican Republic,DOM,DOM,20210207
0.586058,0.017555,792.0,Ecuador,ECU,ECU,20210207
0.58232,0.015462,1019.0,Egypt,EGY,EGY,20210207
0.660939,0.024813,367.0,El Salvador,SLV,SLV,20210207
0.613071,0.037659,166.0,Finland,FIN,FIN,20210207
0.525134,0.007493,4442.0,France,FRA,FRA,20210207
0.537777,0.008557,3406.0,Germany,DEU,DEU,20210207
0.585966,0.02933,288.0,Ghana,GHA,GHA,20210207
0.521595,0.017662,801.0,Greece,GRC,GRC,20210207
0.585125,0.028259,312.0,Guatemala,GTM,GTM,20210207
0.629041,0.028251,298.0,Honduras,HND,HND,20210207
0.631068,0.032239,227.0,Hong Kong,HKG,HKG,20210207
0.494202,0.014883,1132.0,Hungary,HUN,HUN,20210207
0.333319,0.008884,2821.0,India,IND,IND,20210207
0.460758,0.012241,1659.0,Indonesia,IDN,IDN,20210207
0.50707,0.022233,509.0,Iraq,IRQ,IRQ,20210207
0.562507,0.030961,255.0,Ireland,IRL,IRL,20210207
0.478597,0.030481,271.0,Israel,ISR,ISR,20210207
0.452918,0.009815,2574.0,Italy,ITA,ITA,20210207
0.605645,0.004716,10741.0,Japan,JPN,JPN,20210207
0.48803,0.03001,284.0,Jordan,JOR,JOR,20210207
0.482323,0.034016,223.0,Kazakhstan,KAZ,KAZ,20210207
0.585945,0.0274,326.0,Kenya,KEN,KEN,20210207
0.555081,0.032926,229.0,Lebanon,LBN,LBN,20210207
0.44793,0.036902,185.0,Libya,LBY,LBY,20210207
0.511611,0.017967,776.0,Malaysia,MYS,MYS,20210207
0.572415,0.007007,4988.0,Mexico,MEX,MEX,20210207
0.462883,0.045512,122.0,Moldova,MDA,MDA,20210207
0.606609,0.03539,192.0,Morocco,MAR,MAR,20210207
0.50281,0.043836,129.0,Mozambique,MOZ,MOZ,20210207
0.33314,0.031691,221.0,Nepal,NPL,NPL,20210207
0.46365,0.01697,866.0,Netherlands,NLD,NLD,20210207
0.478398,0.02266,488.0,New Zealand,NZL,NZL,20210207
0.519834,0.039916,159.0,Nicaragua,NIC,NIC,20210207
0.534794,0.020861,566.0,Nigeria,NGA,NGA,20210207
0.52367,0.021703,534.0,Norway,NOR,NOR,20210207
0.385375,0.023444,433.0,Pakistan,PAK,PAK,20210207
0.613234,0.047,108.0,Palestine,PSE,PSE,20210207
0.57153,0.037436,175.0,Panama,PAN,PAN,20210207
0.478162,0.031761,249.0,Paraguay,PRY,PRY,20210207
0.552689,0.013542,1349.0,Peru,PER,PER,20210207
0.652062,0.01193,1596.0,Philippines,PHL,PHL,20210207
0.534699,0.014959,1110.0,Poland,POL,POL,20210207
0.430237,0.014177,1222.0,Portugal,PRT,PRT,20210207
0.650537,0.029425,260.0,"Puerto Rico, U.S.",PRI,PRI,20210207
0.46272,0.017479,816.0,Romania,ROU,ROU,20210207
0.448711,0.012292,1649.0,Russia,RUS,RUS,20210207
0.484982,0.027287,329.0,Saudi Arabia,SAU,SAU,20210207
0.399636,0.024057,414.0,Serbia,SRB,SRB,20210207
0.537088,0.049755,104.0,Singapore,SGP,SGP,20210207
0.469632,0.024017,434.0,Slovakia,SVK,SVK,20210207
0.482441,0.036361,190.0,Slovenia,SVN,SVN,20210207
0.549968,0.017459,816.0,South Africa,ZAF,ZAF,20210207
0.684032,0.018463,637.0,South Korea,KOR,KOR,20210207
0.497273,0.01119,1998.0,Spain,ESP,ESP,20210207
0.560173,0.046857,114.0,Sri Lanka,LKA,LKA,20210207
0.41161,0.039849,152.0,Sudan,SDN,SDN,20210207
0.548235,0.013672,1327.0,Sweden,SWE,SWE,20210207
0.487198,0.019713,648.0,Switzerland,CHE,CHE,20210207
0.569189,0.010077,2414.0,Taiwan,TWN,TWN,20210207
0.568058,0.012334,1612.0,Thailand,THA,THA,20210207
0.670692,0.022679,430.0,Tunisia,TUN,TUN,20210207
0.479648,0.012524,1592.0,Turkey,TUR,TUR,20210207
0.482935,0.011517,1882.0,Ukraine,UKR,UKR,20210207
0.426207,0.041726,143.0,United Arab Emirates,ARE,ARE,20210207
0.473674,0.014977,1115.0,United Kingdom,GBR,GBR,20210207
0.603863,0.021909,503.0,Uruguay,URY,URY,20210207
0.509702,0.048985,117.0,Uzbekistan,UZB,UZB,20210207
0.580352,0.018776,696.0,Venezuela,VEN,VEN,20210207
0.397184,0.00932,2760.0,Vietnam,VNM,VNM,20210207
0.443141,0.047835,123.0,Afghanistan,AFG,AFG,20210208
0.41594,0.042813,139.0,Albania,ALB,ALB,20210208
0.504997,0.01897,705.0,Algeria,DZA,DZA,20210208
0.49632,0.00862,3366.0,Argentina,ARG,ARG,20210208
0.538011,0.01188,1763.0,Australia,AUS,AUS,20210208
0.487987,0.017996,777.0,Austria,AUT,AUT,20210208
0.480311,0.040915,152.0,Azerbaijan,AZE,AZE,20210208
0.387955,0.018943,665.0,Bangladesh,BGD,BGD,20210208
0.492856,0.023935,449.0,Belarus,BLR,BLR,20210208
0.550757,0.016845,876.0,Belgium,BEL,BEL,20210208
0.533467,0.016762,885.0,Bolivia,BOL,BOL,20210208
0.457299,0.033811,221.0,Bosnia and Herzegovina,BIH,BIH,20210208
0.489045,0.005614,7959.0,Brazil,BRA,BRA,20210208
0.430086,0.017168,838.0,Bulgaria,BGR,BGR,20210208
0.595811,0.043788,116.0,Cameroon,CMR,CMR,20210208
0.556853,0.01005,2446.0,Canada,CAN,CAN,20210208
0.622882,0.013286,1340.0,Chile,CHL,CHL,20210208
0.624662,0.008841,2995.0,Colombia,COL,COL,20210208
0.542117,0.028515,305.0,Costa Rica,CRI,CRI,20210208
0.51465,0.042695,143.0,C̫te d'Ivoire,CIV,CIV,20210208
0.50275,0.023728,447.0,Croatia,HRV,HRV,20210208
0.438171,0.013434,1366.0,Czech Republic,CZE,CZE,20210208
0.523404,0.020572,592.0,Denmark,DNK,DNK,20210208
0.604707,0.022773,465.0,Dominican Republic,DOM,DOM,20210208
0.601745,0.014155,1217.0,Ecuador,ECU,ECU,20210208
0.552517,0.012737,1515.0,Egypt,EGY,EGY,20210208
0.651018,0.020344,554.0,El Salvador,SLV,SLV,20210208
