smoothed_pct_hes_otherpeople,smoothed_hes_otherpeople_se,sample_size,country,iso_code,gid_0,survey_date
0.314324,0.019817,550.0,Bulgaria,BGR,BGR,20210207
0.458509,0.012221,1665.0,Canada,CAN,CAN,20210207
0.329143,0.015807,888.0,Chile,CHL,CHL,20210207
0.339062,0.010664,1970.0,Colombia,COL,COL,20210207
0.443706,0.035306,200.0,Costa Rica,CRI,CRI,20210207
0.339942,0.027366,301.0,Croatia,HRV,HRV,20210207
0.457577,0.016414,923.0,Czech Republic,CZE,CZE,20210207
0.509005,0.025399,387.0,Denmark,DNK,DNK,20210207
0.298342,0.025922,314.0,Dominican Republic,DOM,DOM,20210207
0.38118,0.017284,792.0,Ecuador,ECU,ECU,20210207
0.272184,0.013947,1019.0,Egypt,EGY,EGY,20210207
0.313496,0.024366,367.0,El Salvador,SLV,SLV,20210207
0.412148,0.038464,166.0,Finland,FIN,FIN,20210207
0.437805,0.007445,4442.0,France,FRA,FRA,20210207
0.404736,0.008424,3406.0,Germany,DEU,DEU,20210207
0.193726,0.023635,288.0,Ghana,GHA,GHA,20210207
0.342205,0.016787,801.0,Greece,GRC,GRC,20210207
0.425751,0.028173,312.0,Guatemala,GTM,GTM,20210207
0.311784,0.027237,298.0,Honduras,HND,HND,20210207
0.312009,0.030879,227.0,Hong Kong,HKG,HKG,20210207
0.276161,0.013293,1132.0,Hungary,HUN,HUN,20210207
0.423274,0.009312,2821.0,India,IND,IND,20210207
0.319338,0.011463,1659.0,Indonesia,IDN,IDN,20210207
0.29022,0.020065,509.0,Iraq,IRQ,IRQ,20210207
0.483332,0.031376,255.0,Ireland,IRL,IRL,20210207
0.200714,0.024421,271.0,Israel,ISR,ISR,20210207
0.37021,0.009521,2574.0,Italy,ITA,ITA,20210207
0.291412,0.004385,10741.0,Japan,JPN,JPN,20210207
0.327378,0.02745,284.0,Jordan,JOR,JOR,20210207
0.146862,0.023498,223.0,Kazakhstan,KAZ,KAZ,20210207
0.207158,0.022529,326.0,Kenya,KEN,KEN,20210207
0.294655,0.030226,229.0,Lebanon,LBN,LBN,20210207
0.277928,0.033291,185.0,Libya,LBY,LBY,20210207
0.421893,0.01773,776.0,Malaysia,MYS,MYS,20210207
0.423501,0.006998,4988.0,Mexico,MEX,MEX,20210207
0.272046,0.039921,122.0,Moldova,MDA,MDA,20210207
0.377339,0.035374,192.0,Morocco,MAR,MAR,20210207
0.400563,0.04351,129.0,Mozambique,MOZ,MOZ,20210207
0.420328,0.03349,221.0,Nepal,NPL,NPL,20210207
0.394828,0.016631,866.0,Netherlands,NLD,NLD,20210207
0.465826,0.022628,488.0,New Zealand,NZL,NZL,20210207
