smoothed_sideeffects,smoothed_sideeffects_se,sample_size,country,iso_code,gid_0,survey_date
0.725532,0.011075,1646.0,Bolivia,BOL,BOL,20210115
0.495731,0.027968,321.0,Bosnia and Herzegovina,BIH,BIH,20210115
0.468491,0.00292,29214.0,Brazil,BRA,BRA,20210115
0.548806,0.015576,1035.0,Bulgaria,BGR,BGR,20210115
0.411134,0.006543,5661.0,Canada,CAN,CAN,20210115
0.700952,0.008794,2713.0,Chile,CHL,CHL,20210115
0.720759,0.005832,5887.0,Colombia,COL,COL,20210115
0.526801,0.016241,962.0,Costa Rica,CRI,CRI,20210115
0.619388,0.036933,177.0,C̫te d'Ivoire,CIV,CIV,20210115
0.462949,0.017896,784.0,Croatia,HRV,HRV,20210115
0.277577,0.009715,2127.0,Czech Republic,CZE,CZE,20210115
0.318419,0.00819,3245.0,Denmark,DNK,DNK,20210115
0.738353,0.015384,819.0,Dominican Republic,DOM,DOM,20210115
0.760285,0.009784,1910.0,Ecuador,ECU,ECU,20210115
0.716671,0.009092,2457.0,Egypt,EGY,EGY,20210115
0.722574,0.015123,885.0,El Salvador,SLV,SLV,20210115
0.676084,0.035823,173.0,Ethiopia,ETH,ETH,20210115
0.321169,0.017037,773.0,Finland,FIN,FIN,20210115
0.47608,0.005055,9769.0,France,FRA,FRA,20210115
0.383282,0.00471,10659.0,Germany,DEU,DEU,20210115
0.821298,0.021275,327.0,Ghana,GHA,GHA,20210115
0.448831,0.01256,1596.0,Greece,GRC,GRC,20210115
0.711241,0.015829,820.0,Guatemala,GTM,GTM,20210115
0.714725,0.016602,746.0,Honduras,HND,HND,20210115
0.60246,0.024947,390.0,Hong Kong,HKG,HKG,20210115
0.407244,0.008272,3549.0,Hungary,HUN,HUN,20210115
0.530906,0.007106,4930.0,India,IND,IND,20210115
0.5365,0.007584,4325.0,Indonesia,IDN,IDN,20210115
0.551413,0.016009,966.0,Iraq,IRQ,IRQ,20210115
0.429007,0.01165,1808.0,Ireland,IRL,IRL,20210115
0.420146,0.010974,2036.0,Israel,ISR,ISR,20210115
0.474857,0.0049,10400.0,Italy,ITA,ITA,20210115
0.839337,0.002656,19125.0,Japan,JPN,JPN,20210115
0.614653,0.019253,641.0,Jordan,JOR,JOR,20210115
0.704772,0.026468,299.0,Kazakhstan,KAZ,KAZ,20210115
0.779058,0.015286,740.0,Kenya,KEN,KEN,20210115
0.470317,0.04145,147.0,Kuwait,KWT,KWT,20210115
0.756127,0.039678,127.0,Kyrgyzstan,KGZ,KGZ,20210115
0.669383,0.020854,545.0,Lebanon,LBN,LBN,20210115
0.601953,0.024195,414.0,Libya,LBY,LBY,20210115
0.755293,0.009104,2232.0,Malaysia,MYS,MYS,20210115
0.642569,0.003427,19559.0,Mexico,MEX,MEX,20210115
0.732254,0.029795,223.0,Moldova,MDA,MDA,20210115
0.55608,0.023706,441.0,Morocco,MAR,MAR,20210115
0.885787,0.022021,211.0,Mozambique,MOZ,MOZ,20210115
0.522384,0.019577,653.0,Myanmar,MMR,MMR,20210115
0.634339,0.021706,494.0,Nepal,NPL,NPL,20210115
0.306845,0.006992,4353.0,Netherlands,NLD,NLD,20210115
0.486489,0.014122,1261.0,New Zealand,NZL,NZL,20210115
0.702455,0.020132,513.0,Nicaragua,NIC,NIC,20210115
0.77386,0.011582,1308.0,Nigeria,NGA,NGA,20210115
0.260264,0.008425,2719.0,Norway,NOR,NOR,20210115
0.585121,0.015488,1014.0,Pakistan,PAK,PAK,20210115
0.608577,0.030941,266.0,Palestine,PSE,PSE,20210115
0.704186,0.020712,494.0,Panama,PAN,PAN,20210115
0.588336,0.022316,488.0,Paraguay,PRY,PRY,20210115
0.703015,0.009163,2490.0,Peru,PER,PER,20210115
0.834628,0.006456,3318.0,Philippines,PHL,PHL,20210115
0.503955,0.008743,3273.0,Poland,POL,POL,20210115
0.672992,0.007708,3727.0,Portugal,PRT,PRT,20210115
0.590853,0.01526,1034.0,"Puerto Rico, U.S.",PRI,PRI,20210115
0.566318,0.047166,113.0,Qatar,QAT,QAT,20210115
0.497293,0.009547,2752.0,Romania,ROU,ROU,20210115
0.705553,0.008481,2890.0,Russia,RUS,RUS,20210115
0.508694,0.020688,582.0,Saudi Arabia,SAU,SAU,20210115
0.503687,0.015852,996.0,Serbia,SRB,SRB,20210115
0.610976,0.026478,333.0,Singapore,SGP,SGP,20210115
0.282317,0.012626,1273.0,Slovakia,SVK,SVK,20210115
0.507757,0.020866,576.0,Slovenia,SVN,SVN,20210115
0.728444,0.009163,2355.0,South Africa,ZAF,ZAF,20210115
0.625873,0.01244,1516.0,South Korea,KOR,KOR,20210115
0.563245,0.005934,6995.0,Spain,ESP,ESP,20210115
0.716143,0.027053,280.0,Sri Lanka,LKA,LKA,20210115
0.586388,0.024351,407.0,Sudan,SDN,SDN,20210115
0.379649,0.006016,6533.0,Sweden,SWE,SWE,20210115
0.447112,0.012567,1563.0,Switzerland,CHE,CHE,20210115
0.580056,0.007931,3866.0,Taiwan,TWN,TWN,20210115
0.676649,0.046375,100.0,Tanzania,TZA,TZA,20210115
0.619093,0.006479,5615.0,Thailand,THA,THA,20210115
0.649419,0.016591,829.0,Tunisia,TUN,TUN,20210115
0.686035,0.00843,3031.0,Turkey,TUR,TUR,20210115
0.753192,0.007439,3362.0,Ukraine,UKR,UKR,20210115
0.571363,0.018798,694.0,United Arab Emirates,ARE,ARE,20210115
0.319745,0.005619,6895.0,United Kingdom,GBR,GBR,20210115
0.709871,0.012283,1365.0,Uruguay,URY,URY,20210115
0.689485,0.036112,166.0,Uzbekistan,UZB,UZB,20210115
0.770295,0.01067,1570.0,Venezuela,VEN,VEN,20210115
0.445544,0.009155,2950.0,Vietnam,VNM,VNM,20210115
0.470912,0.046124,119.0,Yemen,YEM,YEM,20210115
0.610179,0.027594,311.0,Afghanistan,AFG,AFG,20210116
0.597738,0.032771,232.0,Albania,ALB,ALB,20210116
0.606467,0.015177,1037.0,Algeria,DZA,DZA,20210116
0.753236,0.033669,158.0,Angola,AGO,AGO,20210116
0.636124,0.005283,8317.0,Argentina,ARG,ARG,20210116
0.621281,0.047188,108.0,Armenia,ARM,ARM,20210116
0.476934,0.006954,5219.0,Australia,AUS,AUS,20210116
0.381033,0.009484,2716.0,Austria,AUT,AUT,20210116
0.73513,0.027728,258.0,Azerbaijan,AZE,AZE,20210116
0.612156,0.014088,1202.0,Bangladesh,BGD,BGD,20210116
0.799498,0.014419,777.0,Belarus,BLR,BLR,20210116
0.395041,0.009876,2507.0,Belgium,BEL,BEL,20210116
0.732265,0.009162,2371.0,Bolivia,BOL,BOL,20210116
0.506353,0.023864,455.0,Bosnia and Herzegovina,BIH,BIH,20210116
0.464686,0.002398,43250.0,Brazil,BRA,BRA,20210116
0.545866,0.012611,1574.0,Bulgaria,BGR,BGR,20210116
0.642316,0.043923,111.0,Burkina Faso,BFA,BFA,20210116
0.614804,0.041225,143.0,Cambodia,KHM,KHM,20210116
0.735271,0.038101,134.0,Cameroon,CMR,CMR,20210116
0.412686,0.005315,8603.0,Canada,CAN,CAN,20210116
0.691724,0.007203,4111.0,Chile,CHL,CHL,20210116
0.716329,0.004838,8648.0,Colombia,COL,COL,20210116
0.525537,0.013394,1411.0,Costa Rica,CRI,CRI,20210116
0.60362,0.029833,274.0,C̫te d'Ivoire,CIV,CIV,20210116
0.460737,0.014418,1204.0,Croatia,HRV,HRV,20210116
0.278209,0.008064,3092.0,Czech Republic,CZE,CZE,20210116
0.707958,0.04361,112.0,Democratic Republic of the Congo,COD,COD,20210116
0.308924,0.006763,4681.0,Denmark,DNK,DNK,20210116
0.741603,0.012804,1174.0,Dominican Republic,DOM,DOM,20210116
0.7548,0.008151,2793.0,Ecuador,ECU,ECU,20210116
0.719723,0.007456,3631.0,Egypt,EGY,EGY,20210116
0.716041,0.012462,1319.0,El Salvador,SLV,SLV,20210116
0.658717,0.029961,253.0,Ethiopia,ETH,ETH,20210116
0.325643,0.014095,1128.0,Finland,FIN,FIN,20210116
0.475148,0.004149,14501.0,France,FRA,FRA,20210116
0.381682,0.003822,16163.0,Germany,DEU,DEU,20210116
0.840266,0.016512,493.0,Ghana,GHA,GHA,20210116
0.446995,0.010375,2325.0,Greece,GRC,GRC,20210116
0.709234,0.013194,1186.0,Guatemala,GTM,GTM,20210116
0.667493,0.04397,119.0,Haiti,HTI,HTI,20210116
0.733171,0.013744,1046.0,Honduras,HND,HND,20210116
0.617733,0.019769,610.0,Hong Kong,HKG,HKG,20210116
0.418494,0.006819,5260.0,Hungary,HUN,HUN,20210116
0.521529,0.005731,7593.0,India,IND,IND,20210116
0.539837,0.006212,6440.0,Indonesia,IDN,IDN,20210116
0.560333,0.013075,1444.0,Iraq,IRQ,IRQ,20210116
0.437308,0.009574,2693.0,Ireland,IRL,IRL,20210116
0.406076,0.008641,3240.0,Israel,ISR,ISR,20210116
0.478984,0.003957,15949.0,Italy,ITA,ITA,20210116
0.840366,0.002136,29420.0,Japan,JPN,JPN,20210116
0.626736,0.015751,945.0,Jordan,JOR,JOR,20210116
0.717202,0.021334,448.0,Kazakhstan,KAZ,KAZ,20210116
0.763388,0.012832,1100.0,Kenya,KEN,KEN,20210116
0.485582,0.035167,210.0,Kuwait,KWT,KWT,20210116
0.703777,0.033819,187.0,Kyrgyzstan,KGZ,KGZ,20210116
0.661286,0.016926,836.0,Lebanon,LBN,LBN,20210116
0.590121,0.01917,666.0,Libya,LBY,LBY,20210116
0.757099,0.007374,3398.0,Malaysia,MYS,MYS,20210116
0.548151,0.042889,137.0,Mali,MLI,MLI,20210116
0.640871,0.002815,29057.0,Mexico,MEX,MEX,20210116
0.736979,0.023989,340.0,Moldova,MDA,MDA,20210116
0.553021,0.019464,656.0,Morocco,MAR,MAR,20210116
