pct_trust_doctors,trust_doctors_se,pct_trust_doctors_unw,trust_doctors_se_unw,sample_size,country,iso_code,gid_0,survey_date
0.549509,0.024133,0.565012,0.02422,423.0,Slovakia,SVK,SVK,20210206
0.479888,0.0389,0.481928,0.038893,166.0,Slovenia,SVN,SVN,20210206
0.614794,0.019425,0.631068,0.019592,618.0,South Africa,ZAF,ZAF,20210206
0.637476,0.020242,0.656987,0.020498,551.0,South Korea,KOR,KOR,20210206
0.781549,0.008373,0.790521,0.008502,2363.0,Spain,ESP,ESP,20210206
0.741602,0.043175,0.683761,0.040644,117.0,Sri Lanka,LKA,LKA,20210206
0.666082,0.037653,0.652174,0.037284,161.0,Sudan,SDN,SDN,20210206
0.622897,0.010525,0.620884,0.010514,2126.0,Sweden,SWE,SWE,20210206
0.481285,0.021454,0.47698,0.021462,543.0,Switzerland,CHE,CHE,20210206
0.678529,0.011729,0.70429,0.012003,1515.0,Taiwan,TWN,TWN,20210206
0.551395,0.014713,0.558772,0.014737,1140.0,Thailand,THA,THA,20210206
0.455115,0.034098,0.50463,0.033962,216.0,Tunisia,TUN,TUN,20210206
0.507693,0.014695,0.524221,0.014711,1156.0,Turkey,TUR,TUR,20210206
0.324813,0.014624,0.306533,0.014854,995.0,Ukraine,UKR,UKR,20210206
0.64194,0.044811,0.595041,0.043766,121.0,United Arab Emirates,ARE,ARE,20210206
0.657758,0.010669,0.650651,0.010617,1998.0,United Kingdom,GBR,GBR,20210206
0.550917,0.02493,0.609375,0.025416,384.0,Uruguay,URY,URY,20210206
0.701031,0.02044,0.720497,0.020853,483.0,Venezuela,VEN,VEN,20210206
0.623775,0.009617,0.632207,0.009662,2515.0,Vietnam,VNM,VNM,20210206
0.450346,0.031109,0.435294,0.031218,255.0,Algeria,DZA,DZA,20210207
0.70553,0.010233,0.723326,0.010427,1912.0,Argentina,ARG,ARG,20210207
0.634466,0.014066,0.62775,0.014013,1182.0,Australia,AUS,AUS,20210207
0.534775,0.020117,0.543974,0.020146,614.0,Austria,AUT,AUT,20210207
0.595656,0.028301,0.570033,0.028055,307.0,Bangladesh,BGD,BGD,20210207
0.337735,0.034358,0.318919,0.034865,185.0,Belarus,BLR,BLR,20210207
0.559761,0.019994,0.56748,0.020034,615.0,Belgium,BEL,BEL,20210207
0.715825,0.021985,0.705336,0.02175,431.0,Bolivia,BOL,BOL,20210207
0.791154,0.004669,0.80148,0.004758,7299.0,Brazil,BRA,BRA,20210207
