smoothed_trust_politicians,smoothed_trust_politicians_se,sample_size,country,iso_code,gid_0,survey_date
0.148176,0.00343,10726.0,Japan,JPN,JPN,20201222
0.178761,0.018322,439.0,Jordan,JOR,JOR,20201222
0.066677,0.019188,171.0,Kazakhstan,KAZ,KAZ,20201222
0.22222,0.018619,501.0,Kenya,KEN,KEN,20201222
0.317217,0.04155,128.0,Kuwait,KWT,KWT,20201222
0.076786,0.019427,188.0,Lebanon,LBN,LBN,20201222
0.266602,0.029654,222.0,Libya,LBY,LBY,20201222
0.28913,0.014181,1031.0,Malaysia,MYS,MYS,20201222
0.145664,0.00316,12463.0,Mexico,MEX,MEX,20201222
0.071246,0.023084,122.0,Moldova,MDA,MDA,20201222
0.246369,0.025348,289.0,Morocco,MAR,MAR,20201222
0.437464,0.024769,403.0,Myanmar,MMR,MMR,20201222
0.170357,0.020821,330.0,Nepal,NPL,NPL,20201222
0.10443,0.006774,2054.0,Netherlands,NLD,NLD,20201222
0.152982,0.013624,704.0,New Zealand,NZL,NZL,20201222
0.111848,0.01771,319.0,Nicaragua,NIC,NIC,20201222
0.170642,0.014723,651.0,Nigeria,NGA,NGA,20201222
0.160072,0.010552,1210.0,Norway,NOR,NOR,20201222
0.197843,0.013483,876.0,Pakistan,PAK,PAK,20201222
0.200431,0.030032,191.0,Palestine,PSE,PSE,20201222
0.12326,0.017399,368.0,Panama,PAN,PAN,20201222
0.095329,0.017785,290.0,Paraguay,PRY,PRY,20201222
0.127524,0.009834,1168.0,Peru,PER,PER,20201222
0.189294,0.009666,1645.0,Philippines,PHL,PHL,20201222
0.141068,0.009069,1478.0,Poland,POL,POL,20201222
0.222536,0.01175,1307.0,Portugal,PRT,PRT,20201222
0.223942,0.016426,657.0,"Puerto Rico, U.S.",PRI,PRI,20201222
0.175798,0.044001,110.0,Qatar,QAT,QAT,20201222
0.058206,0.006815,1181.0,Romania,ROU,ROU,20201222
0.076016,0.006718,1566.0,Russia,RUS,RUS,20201222
0.239145,0.018786,515.0,Saudi Arabia,SAU,SAU,20201222
0.063,0.011267,470.0,Serbia,SRB,SRB,20201222
0.258741,0.028164,242.0,Singapore,SGP,SGP,20201222
0.120963,0.013439,588.0,Slovakia,SVK,SVK,20201222
0.119379,0.022482,211.0,Slovenia,SVN,SVN,20201222
0.160088,0.009498,1492.0,South Africa,ZAF,ZAF,20201222
0.224753,0.012133,1184.0,South Korea,KOR,KOR,20201222
0.098961,0.005231,3258.0,Spain,ESP,ESP,20201222
0.192814,0.029679,178.0,Sri Lanka,LKA,LKA,20201222
0.248921,0.027483,246.0,Sudan,SDN,SDN,20201222
0.171345,0.006278,3586.0,Sweden,SWE,SWE,20201222
0.076604,0.009197,837.0,Switzerland,CHE,CHE,20201222
0.13811,0.007048,2413.0,Taiwan,TWN,TWN,20201222
0.233489,0.006085,4832.0,Thailand,THA,THA,20201222
0.16168,0.020225,330.0,Tunisia,TUN,TUN,20201222
0.097105,0.005981,2461.0,Turkey,TUR,TUR,20201222
0.088259,0.006562,1857.0,Ukraine,UKR,UKR,20201222
0.199158,0.019685,411.0,United Arab Emirates,ARE,ARE,20201222
0.157903,0.006434,3213.0,United Kingdom,GBR,GBR,20201222
0.120256,0.010493,969.0,Uruguay,URY,URY,20201222
0.162906,0.034585,108.0,Uzbekistan,UZB,UZB,20201222
0.124133,0.010643,995.0,Venezuela,VEN,VEN,20201222
0.344127,0.011232,1780.0,Vietnam,VNM,VNM,20201222
0.131047,0.032999,106.0,Yemen,YEM,YEM,20201222
0.260299,0.029557,224.0,Afghanistan,AFG,AFG,20201223
0.159966,0.030461,150.0,Albania,ALB,ALB,20201223
0.197205,0.015457,662.0,Algeria,DZA,DZA,20201223
0.306142,0.044574,107.0,Angola,AGO,AGO,20201223
0.134627,0.004834,5016.0,Argentina,ARG,ARG,20201223
0.146862,0.005768,3771.0,Australia,AUS,AUS,20201223
0.076908,0.006996,1455.0,Austria,AUT,AUT,20201223
0.115939,0.022199,211.0,Azerbaijan,AZE,AZE,20201223
0.248083,0.013459,1044.0,Bangladesh,BGD,BGD,20201223
0.035754,0.00784,546.0,Belarus,BLR,BLR,20201223
0.100464,0.007801,1551.0,Belgium,BEL,BEL,20201223
0.142315,0.009543,1342.0,Bolivia,BOL,BOL,20201223
0.059687,0.01666,240.0,Bosnia and Herzegovina,BIH,BIH,20201223
