smoothed_hesitant_sideeffects,smoothed_hesitant_sideeffects_se,sample_size,country,iso_code,gid_0,survey_date
0.168432,0.009414,1645.0,Belgium,BEL,BEL,20210115
0.232957,0.010442,1641.0,Bolivia,BOL,BOL,20210115
0.299296,0.025359,319.0,Bosnia and Herzegovina,BIH,BIH,20210115
0.151963,0.002105,29097.0,Brazil,BRA,BRA,20210115
0.366817,0.015302,1005.0,Bulgaria,BGR,BGR,20210115
0.153059,0.004845,5528.0,Canada,CAN,CAN,20210115
0.229506,0.008108,2692.0,Chile,CHL,CHL,20210115
0.204134,0.005276,5850.0,Colombia,COL,COL,20210115
0.113769,0.010465,943.0,Costa Rica,CRI,CRI,20210115
0.270992,0.033321,177.0,C̫te d'Ivoire,CIV,CIV,20210115
0.225686,0.015444,739.0,Croatia,HRV,HRV,20210115
0.193784,0.008742,2046.0,Czech Republic,CZE,CZE,20210115
0.05371,0.004044,3129.0,Denmark,DNK,DNK,20210115
0.329993,0.01657,813.0,Dominican Republic,DOM,DOM,20210115
0.308639,0.0106,1903.0,Ecuador,ECU,ECU,20210115
0.307454,0.009377,2421.0,Egypt,EGY,EGY,20210115
0.191473,0.013337,882.0,El Salvador,SLV,SLV,20210115
0.171904,0.028968,172.0,Ethiopia,ETH,ETH,20210115
0.089302,0.01062,758.0,Finland,FIN,FIN,20210115
0.275713,0.00457,9557.0,France,FRA,FRA,20210115
0.211028,0.004015,10334.0,Germany,DEU,DEU,20210115
0.357038,0.026651,326.0,Ghana,GHA,GHA,20210115
0.180424,0.009869,1538.0,Greece,GRC,GRC,20210115
0.167646,0.013099,813.0,Guatemala,GTM,GTM,20210115
0.154723,0.013388,738.0,Honduras,HND,HND,20210115
0.300901,0.023478,386.0,Hong Kong,HKG,HKG,20210115
0.189344,0.006721,3425.0,Hungary,HUN,HUN,20210115
0.170711,0.005425,4814.0,India,IND,IND,20210115
0.171633,0.005776,4264.0,Indonesia,IDN,IDN,20210115
0.274175,0.014367,966.0,Iraq,IRQ,IRQ,20210115
0.109657,0.007488,1746.0,Ireland,IRL,IRL,20210115
0.302575,0.017238,712.0,Israel,ISR,ISR,20210115
0.100543,0.00305,9731.0,Italy,ITA,ITA,20210115
0.257407,0.003167,19069.0,Japan,JPN,JPN,20210115
0.403296,0.019418,641.0,Jordan,JOR,JOR,20210115
0.47483,0.029329,292.0,Kazakhstan,KAZ,KAZ,20210115
0.213271,0.015121,737.0,Kenya,KEN,KEN,20210115
0.182529,0.033273,136.0,Kuwait,KWT,KWT,20210115
0.435992,0.045695,127.0,Kyrgyzstan,KGZ,KGZ,20210115
0.278347,0.020093,545.0,Lebanon,LBN,LBN,20210115
0.266089,0.021919,413.0,Libya,LBY,LBY,20210115
0.201866,0.008505,2230.0,Malaysia,MYS,MYS,20210115
0.108711,0.002244,19244.0,Mexico,MEX,MEX,20210115
0.346325,0.031924,223.0,Moldova,MDA,MDA,20210115
0.281486,0.021494,436.0,Morocco,MAR,MAR,20210115
0.222433,0.028768,211.0,Mozambique,MOZ,MOZ,20210115
0.077371,0.010502,650.0,Myanmar,MMR,MMR,20210115
0.12709,0.015108,487.0,Nepal,NPL,NPL,20210115
0.131165,0.005147,4304.0,Netherlands,NLD,NLD,20210115
0.19334,0.011159,1253.0,New Zealand,NZL,NZL,20210115
0.187173,0.017334,508.0,Nicaragua,NIC,NIC,20210115
0.269077,0.012301,1307.0,Nigeria,NGA,NGA,20210115
0.115115,0.006112,2718.0,Norway,NOR,NOR,20210115
0.176378,0.011988,1013.0,Pakistan,PAK,PAK,20210115
0.349702,0.030229,266.0,Palestine,PSE,PSE,20210115
0.154436,0.016319,490.0,Panama,PAN,PAN,20210115
0.287901,0.020494,486.0,Paraguay,PRY,PRY,20210115
0.212355,0.008201,2479.0,Peru,PER,PER,20210115
0.309991,0.008039,3311.0,Philippines,PHL,PHL,20210115
0.238347,0.007679,3083.0,Poland,POL,POL,20210115
0.147958,0.005873,3659.0,Portugal,PRT,PRT,20210115
0.122551,0.010217,1034.0,"Puerto Rico, U.S.",PRI,PRI,20210115
0.130214,0.033421,103.0,Qatar,QAT,QAT,20210115
0.208408,0.008012,2581.0,Romania,ROU,ROU,20210115
0.47304,0.009509,2757.0,Russia,RUS,RUS,20210115
0.189678,0.017194,522.0,Saudi Arabia,SAU,SAU,20210115
0.294869,0.014454,992.0,Serbia,SRB,SRB,20210115
0.202213,0.022058,332.0,Singapore,SGP,SGP,20210115
0.165698,0.010657,1218.0,Slovakia,SVK,SVK,20210115
0.269984,0.018902,553.0,Slovenia,SVN,SVN,20210115
0.332288,0.009724,2349.0,South Africa,ZAF,ZAF,20210115
0.198937,0.010271,1515.0,South Korea,KOR,KOR,20210115
0.113324,0.00386,6748.0,Spain,ESP,ESP,20210115
0.153591,0.021676,279.0,Sri Lanka,LKA,LKA,20210115
0.266675,0.022005,406.0,Sudan,SDN,SDN,20210115
0.108359,0.003884,6429.0,Sweden,SWE,SWE,20210115
0.257581,0.011148,1536.0,Switzerland,CHE,CHE,20210115
0.264689,0.007113,3850.0,Taiwan,TWN,TWN,20210115
0.211931,0.04121,100.0,Tanzania,TZA,TZA,20210115
0.116275,0.004279,5608.0,Thailand,THA,THA,20210115
0.398938,0.016995,828.0,Tunisia,TUN,TUN,20210115
0.257196,0.008071,2929.0,Turkey,TUR,TUR,20210115
0.418164,0.008515,3357.0,Ukraine,UKR,UKR,20210115
0.181973,0.014688,692.0,United Arab Emirates,ARE,ARE,20210115
0.082509,0.003418,6481.0,United Kingdom,GBR,GBR,20210115
0.270535,0.012061,1360.0,Uruguay,URY,URY,20210115
0.381785,0.038099,164.0,Uzbekistan,UZB,UZB,20210115
0.268529,0.011254,1561.0,Venezuela,VEN,VEN,20210115
0.114914,0.00589,2946.0,Vietnam,VNM,VNM,20210115
0.201377,0.03715,119.0,Yemen,YEM,YEM,20210115
0.202138,0.023235,309.0,Afghanistan,AFG,AFG,20210116
0.21329,0.027359,232.0,Albania,ALB,ALB,20210116
0.447025,0.015451,1036.0,Algeria,DZA,DZA,20210116
0.210217,0.032099,158.0,Angola,AGO,AGO,20210116
0.231932,0.004685,8117.0,Argentina,ARG,ARG,20210116
0.396313,0.047658,108.0,Armenia,ARM,ARM,20210116
0.173864,0.005257,5198.0,Australia,AUS,AUS,20210116
0.239369,0.008472,2644.0,Austria,AUT,AUT,20210116
0.441765,0.031062,258.0,Azerbaijan,AZE,AZE,20210116
0.15213,0.010594,1157.0,Bangladesh,BGD,BGD,20210116
0.47273,0.01789,777.0,Belarus,BLR,BLR,20210116
0.167713,0.007617,2472.0,Belgium,BEL,BEL,20210116
0.227368,0.008635,2359.0,Bolivia,BOL,BOL,20210116
0.305206,0.021912,453.0,Bosnia and Herzegovina,BIH,BIH,20210116
0.150653,0.001724,43099.0,Brazil,BRA,BRA,20210116
0.367903,0.012386,1530.0,Bulgaria,BGR,BGR,20210116
0.456947,0.047229,111.0,Burkina Faso,BFA,BFA,20210116
0.175774,0.031123,143.0,Cambodia,KHM,KHM,20210116
0.485911,0.043974,133.0,Cameroon,CMR,CMR,20210116
0.153865,0.003947,8383.0,Canada,CAN,CAN,20210116
0.227804,0.00657,4078.0,Chile,CHL,CHL,20210116
0.204587,0.004355,8595.0,Colombia,COL,COL,20210116
0.124784,0.008947,1380.0,Costa Rica,CRI,CRI,20210116
0.274195,0.026971,274.0,C̫te d'Ivoire,CIV,CIV,20210116
0.220482,0.012291,1145.0,Croatia,HRV,HRV,20210116
0.190573,0.007234,2952.0,Czech Republic,CZE,CZE,20210116
0.397311,0.04623,111.0,Democratic Republic of the Congo,COD,COD,20210116
0.052493,0.003327,4523.0,Denmark,DNK,DNK,20210116
