smoothed_vu,smoothed_vu_se,sample_size_vu,country,iso_code,gid_0,survey_date
0.839595,0.007111,2664.0,United Kingdom,GBR,GBR,20201221
0.596347,0.017545,783.0,Uruguay,URY,URY,20201221
0.703728,0.015689,848.0,Venezuela,VEN,VEN,20201221
0.806682,0.01065,1376.0,Vietnam,VNM,VNM,20201221
0.67208,0.030666,237.0,Afghanistan,AFG,AFG,20201222
0.552762,0.038272,172.0,Albania,ALB,ALB,20201222
0.361989,0.017506,755.0,Algeria,DZA,DZA,20201222
0.771933,0.039956,112.0,Angola,AGO,AGO,20201222
0.693985,0.006624,4848.0,Argentina,ARG,ARG,20201222
0.756107,0.007392,3378.0,Australia,AUS,AUS,20201222
0.610651,0.012698,1477.0,Austria,AUT,AUT,20201222
0.398072,0.032869,234.0,Azerbaijan,AZE,AZE,20201222
0.798419,0.011998,1124.0,Bangladesh,BGD,BGD,20201222
0.503648,0.021962,520.0,Belarus,BLR,BLR,20201222
0.68046,0.012172,1529.0,Belgium,BEL,BEL,20201222
0.708568,0.012867,1253.0,Bolivia,BOL,BOL,20201222
0.515509,0.031276,273.0,Bosnia and Herzegovina,BIH,BIH,20201222
0.753518,0.002702,25446.0,Brazil,BRA,BRA,20201222
0.431571,0.017219,830.0,Bulgaria,BGR,BGR,20201222
0.653655,0.042516,124.0,Cambodia,KHM,KHM,20201222
0.376974,0.047722,103.0,Cameroon,CMR,CMR,20201222
0.771532,0.005902,5075.0,Canada,CAN,CAN,20201222
0.719354,0.009152,2414.0,Chile,CHL,CHL,20201222
0.772433,0.005631,5546.0,Colombia,COL,COL,20201222
0.816757,0.012243,1001.0,Costa Rica,CRI,CRI,20201222
0.577221,0.04286,136.0,C̫te d'Ivoire,CIV,CIV,20201222
0.527781,0.017064,859.0,Croatia,HRV,HRV,20201222
0.576711,0.011956,1708.0,Czech Republic,CZE,CZE,20201222
0.870558,0.006099,3031.0,Denmark,DNK,DNK,20201222
0.605181,0.017993,740.0,Dominican Republic,DOM,DOM,20201222
0.716016,0.009745,2143.0,Ecuador,ECU,ECU,20201222
0.605437,0.008519,3299.0,Egypt,EGY,EGY,20201222
0.75184,0.014324,926.0,El Salvador,SLV,SLV,20201222
0.719451,0.039717,130.0,Ethiopia,ETH,ETH,20201222
0.803498,0.014289,792.0,Finland,FIN,FIN,20201222
0.505216,0.005584,8031.0,France,FRA,FRA,20201222
0.716995,0.004573,9712.0,Germany,DEU,DEU,20201222
0.653639,0.025787,343.0,Ghana,GHA,GHA,20201222
0.69142,0.012398,1396.0,Greece,GRC,GRC,20201222
0.80959,0.013326,870.0,Guatemala,GTM,GTM,20201222
0.805649,0.01619,595.0,Honduras,HND,HND,20201222
0.596627,0.019863,612.0,Hong Kong,HKG,HKG,20201222
0.463114,0.009129,2987.0,Hungary,HUN,HUN,20201222
0.687368,0.004912,8912.0,India,IND,IND,20201222
0.675535,0.007121,4325.0,Indonesia,IDN,IDN,20201222
0.570919,0.014934,1091.0,Iraq,IRQ,IRQ,20201222
0.764098,0.012385,1190.0,Ireland,IRL,IRL,20201222
0.724829,0.010962,1735.0,Israel,ISR,ISR,20201222
0.789004,0.004314,8989.0,Italy,ITA,ITA,20201222
0.697811,0.003766,14869.0,Japan,JPN,JPN,20201222
0.34153,0.017077,781.0,Jordan,JOR,JOR,20201222
0.341103,0.028797,273.0,Kazakhstan,KAZ,KAZ,20201222
0.761685,0.01412,913.0,Kenya,KEN,KEN,20201222
0.590415,0.03245,227.0,Kuwait,KWT,KWT,20201222
0.47086,0.04484,126.0,Kyrgyzstan,KGZ,KGZ,20201222
0.439844,0.027832,320.0,Lebanon,LBN,LBN,20201222
0.689714,0.022312,432.0,Libya,LBY,LBY,20201222
0.699905,0.011488,1606.0,Malaysia,MYS,MYS,20201222
0.823619,0.002775,18867.0,Mexico,MEX,MEX,20201222
0.514891,0.030991,262.0,Moldova,MDA,MDA,20201222
0.614965,0.020264,579.0,Morocco,MAR,MAR,20201222
0.706905,0.042091,117.0,Mozambique,MOZ,MOZ,20201222
0.85766,0.013638,655.0,Myanmar,MMR,MMR,20201222
0.756951,0.018129,562.0,Nepal,NPL,NPL,20201222
0.777104,0.006803,3760.0,Netherlands,NLD,NLD,20201222
0.727777,0.01411,1000.0,New Zealand,NZL,NZL,20201222
0.775178,0.018474,512.0,Nicaragua,NIC,NIC,20201222
0.665601,0.01412,1117.0,Nigeria,NGA,NGA,20201222
0.800645,0.008422,2250.0,Norway,NOR,NOR,20201222
0.674771,0.046944,100.0,Oman,OMN,OMN,20201222
0.657609,0.012031,1557.0,Pakistan,PAK,PAK,20201222
0.39279,0.028031,326.0,Palestine,PSE,PSE,20201222
0.741304,0.018307,579.0,Panama,PAN,PAN,20201222
0.626412,0.020896,542.0,Paraguay,PRY,PRY,20201222
0.67015,0.010847,1882.0,Peru,PER,PER,20201222
0.589168,0.009608,2626.0,Philippines,PHL,PHL,20201222
0.574443,0.009401,2763.0,Poland,POL,POL,20201222
0.746915,0.009501,2395.0,Portugal,PRT,PRT,20201222
0.844746,0.010607,1165.0,"Puerto Rico, U.S.",PRI,PRI,20201222
0.686451,0.034601,184.0,Qatar,QAT,QAT,20201222
0.631863,0.01005,2306.0,Romania,ROU,ROU,20201222
0.445854,0.009645,2659.0,Russia,RUS,RUS,20201222
0.659544,0.015983,885.0,Saudi Arabia,SAU,SAU,20201222
0.523553,0.017483,828.0,Serbia,SRB,SRB,20201222
0.80141,0.020945,364.0,Singapore,SGP,SGP,20201222
0.601625,0.014444,1153.0,Slovakia,SVK,SVK,20201222
0.645991,0.023257,425.0,Slovenia,SVN,SVN,20201222
0.624299,0.00949,2608.0,South Africa,ZAF,ZAF,20201222
0.735562,0.011035,1599.0,South Korea,KOR,KOR,20201222
0.773297,0.00556,5676.0,Spain,ESP,ESP,20201222
0.753681,0.024448,312.0,Sri Lanka,LKA,LKA,20201222
0.648978,0.021837,479.0,Sudan,SDN,SDN,20201222
0.801806,0.004945,6499.0,Sweden,SWE,SWE,20201222
0.625276,0.012569,1485.0,Switzerland,CHE,CHE,20201222
0.64557,0.007982,3589.0,Taiwan,TWN,TWN,20201222
0.852942,0.004068,7561.0,Thailand,THA,THA,20201222
0.376453,0.019481,624.0,Tunisia,TUN,TUN,20201222
0.567132,0.007373,4518.0,Turkey,TUR,TUR,20201222
0.527406,0.008652,3335.0,Ukraine,UKR,UKR,20201222
0.665581,0.01803,686.0,United Arab Emirates,ARE,ARE,20201222
0.842956,0.004856,5618.0,United Kingdom,GBR,GBR,20201222
0.624066,0.012243,1562.0,Uruguay,URY,URY,20201222
0.45193,0.036568,186.0,Uzbekistan,UZB,UZB,20201222
0.708218,0.010936,1738.0,Venezuela,VEN,VEN,20201222
0.822783,0.007014,2972.0,Vietnam,VNM,VNM,20201222
0.451208,0.035454,197.0,Yemen,YEM,YEM,20201222
0.692625,0.024826,349.0,Afghanistan,AFG,AFG,20201223
0.585491,0.031715,243.0,Albania,ALB,ALB,20201223
0.355216,0.014109,1155.0,Algeria,DZA,DZA,20201223
0.749002,0.033497,169.0,Angola,AGO,AGO,20201223
0.684976,0.005451,7272.0,Argentina,ARG,ARG,20201223
0.405782,0.04727,108.0,Armenia,ARM,ARM,20201223
0.767202,0.006046,4885.0,Australia,AUS,AUS,20201223
0.607492,0.010519,2158.0,Austria,AUT,AUT,20201223
0.38323,0.026257,359.0,Azerbaijan,AZE,AZE,20201223
0.795749,0.009991,1637.0,Bangladesh,BGD,BGD,20201223
0.514017,0.01784,788.0,Belarus,BLR,BLR,20201223
0.678398,0.009872,2323.0,Belgium,BEL,BEL,20201223
0.706518,0.010443,1908.0,Bolivia,BOL,BOL,20201223
0.556152,0.025703,389.0,Bosnia and Herzegovina,BIH,BIH,20201223
0.755507,0.002211,37788.0,Brazil,BRA,BRA,20201223
0.43282,0.014162,1232.0,Bulgaria,BGR,BGR,20201223
0.495305,0.046509,115.0,Burkina Faso,BFA,BFA,20201223
0.663888,0.03494,184.0,Cambodia,KHM,KHM,20201223
0.401315,0.03931,156.0,Cameroon,CMR,CMR,20201223
0.775556,0.00479,7630.0,Canada,CAN,CAN,20201223
0.713604,0.007516,3621.0,Chile,CHL,CHL,20201223
0.758045,0.004714,8231.0,Colombia,COL,COL,20201223
0.80981,0.009905,1572.0,Costa Rica,CRI,CRI,20201223
0.583343,0.034404,210.0,C̫te d'Ivoire,CIV,CIV,20201223
0.532489,0.014163,1246.0,Croatia,HRV,HRV,20201223
0.572579,0.009783,2558.0,Czech Republic,CZE,CZE,20201223
0.34059,0.047279,103.0,Democratic Republic of the Congo,COD,COD,20201223
0.871385,0.005125,4270.0,Denmark,DNK,DNK,20201223
0.592251,0.014697,1120.0,Dominican Republic,DOM,DOM,20201223
0.715345,0.008138,3078.0,Ecuador,ECU,ECU,20201223
0.598426,0.0069,5058.0,Egypt,EGY,EGY,20201223
0.747191,0.011968,1352.0,El Salvador,SLV,SLV,20201223
0.745937,0.029058,227.0,Ethiopia,ETH,ETH,20201223
0.800291,0.011854,1160.0,Finland,FIN,FIN,20201223
0.504115,0.004631,11701.0,France,FRA,FRA,20201223
0.720748,0.003743,14372.0,Germany,DEU,DEU,20201223
0.64062,0.021442,505.0,Ghana,GHA,GHA,20201223
0.690835,0.010134,2089.0,Greece,GRC,GRC,20201223
0.812808,0.010992,1262.0,Guatemala,GTM,GTM,20201223
0.249123,0.042799,104.0,Haiti,HTI,HTI,20201223
0.765448,0.014372,854.0,Honduras,HND,HND,20201223
0.589592,0.016638,883.0,Hong Kong,HKG,HKG,20201223
0.472253,0.00751,4441.0,Hungary,HUN,HUN,20201223
0.687348,0.004016,13335.0,India,IND,IND,20201223
0.675831,0.005808,6499.0,Indonesia,IDN,IDN,20201223
0.552081,0.01217,1665.0,Iraq,IRQ,IRQ,20201223
0.782347,0.009763,1794.0,Ireland,IRL,IRL,20201223
0.732608,0.00879,2611.0,Israel,ISR,ISR,20201223
0.795222,0.003517,13203.0,Italy,ITA,ITA,20201223
0.696154,0.003085,22225.0,Japan,JPN,JPN,20201223
0.344006,0.014023,1162.0,Jordan,JOR,JOR,20201223
0.342342,0.023406,414.0,Kazakhstan,KAZ,KAZ,20201223
0.767693,0.011596,1329.0,Kenya,KEN,KEN,20201223
0.551409,0.027466,329.0,Kuwait,KWT,KWT,20201223
0.488846,0.035855,199.0,Kyrgyzstan,KGZ,KGZ,20201223
0.85909,0.031619,115.0,Laos,LAO,LAO,20201223
0.446043,0.022204,505.0,Lebanon,LBN,LBN,20201223
0.669402,0.018386,656.0,Libya,LBY,LBY,20201223
0.695867,0.009446,2388.0,Malaysia,MYS,MYS,20201223
0.508515,0.043633,134.0,Mali,MLI,MLI,20201223
0.825605,0.002262,28146.0,Mexico,MEX,MEX,20201223
0.506016,0.025016,403.0,Moldova,MDA,MDA,20201223
0.636276,0.016476,855.0,Morocco,MAR,MAR,20201223
0.704705,0.037262,151.0,Mozambique,MOZ,MOZ,20201223
0.86822,0.010714,993.0,Myanmar,MMR,MMR,20201223
0.764263,0.014622,848.0,Nepal,NPL,NPL,20201223
0.774577,0.005683,5475.0,Netherlands,NLD,NLD,20201223
0.742474,0.01127,1507.0,New Zealand,NZL,NZL,20201223
0.79593,0.014861,732.0,Nicaragua,NIC,NIC,20201223
0.68332,0.011258,1704.0,Nigeria,NGA,NGA,20201223
0.795747,0.007026,3301.0,Norway,NOR,NOR,20201223
0.65733,0.039022,149.0,Oman,OMN,OMN,20201223
0.65079,0.009634,2450.0,Pakistan,PAK,PAK,20201223
0.390837,0.022997,475.0,Palestine,PSE,PSE,20201223
0.743406,0.015222,831.0,Panama,PAN,PAN,20201223
0.643916,0.017419,763.0,Paraguay,PRY,PRY,20201223
0.673266,0.008968,2739.0,Peru,PER,PER,20201223
0.596855,0.007862,3896.0,Philippines,PHL,PHL,20201223
0.591563,0.007686,4081.0,Poland,POL,POL,20201223
0.751347,0.007555,3600.0,Portugal,PRT,PRT,20201223
0.84448,0.008706,1752.0,"Puerto Rico, U.S.",PRI,PRI,20201223
0.663054,0.029467,263.0,Qatar,QAT,QAT,20201223
0.638141,0.008207,3431.0,Romania,ROU,ROU,20201223
0.441252,0.007939,3920.0,Russia,RUS,RUS,20201223
0.654725,0.013187,1307.0,Saudi Arabia,SAU,SAU,20201223
0.521824,0.014203,1258.0,Serbia,SRB,SRB,20201223
0.778237,0.017808,554.0,Singapore,SGP,SGP,20201223
0.613418,0.011766,1716.0,Slovakia,SVK,SVK,20201223
0.634012,0.019208,632.0,Slovenia,SVN,SVN,20201223
0.617475,0.007686,4006.0,South Africa,ZAF,ZAF,20201223
0.746325,0.008932,2372.0,South Korea,KOR,KOR,20201223
0.769287,0.004641,8245.0,Spain,ESP,ESP,20201223
0.76004,0.019799,468.0,Sri Lanka,LKA,LKA,20201223
0.639491,0.018288,691.0,Sudan,SDN,SDN,20201223
0.80576,0.004061,9498.0,Sweden,SWE,SWE,20201223
0.60557,0.010359,2221.0,Switzerland,CHE,CHE,20201223
0.635134,0.0065,5484.0,Taiwan,TWN,TWN,20201223
0.577511,0.043983,128.0,Tanzania,TZA,TZA,20201223
0.849632,0.003342,11418.0,Thailand,THA,THA,20201223
0.366905,0.015579,963.0,Tunisia,TUN,TUN,20201223
0.563707,0.006051,6720.0,Turkey,TUR,TUR,20201223
0.527402,0.007012,5081.0,Ukraine,UKR,UKR,20201223
0.661175,0.015171,977.0,United Arab Emirates,ARE,ARE,20201223
0.845139,0.003936,8452.0,United Kingdom,GBR,GBR,20201223
0.638697,0.009905,2348.0,Uruguay,URY,URY,20201223
0.466599,0.031068,261.0,Uzbekistan,UZB,UZB,20201223
0.711487,0.009113,2486.0,Venezuela,VEN,VEN,20201223
0.828967,0.005655,4447.0,Vietnam,VNM,VNM,20201223
0.457806,0.02839,309.0,Yemen,YEM,YEM,20201223
0.688915,0.022086,449.0,Afghanistan,AFG,AFG,20201224
0.591996,0.027896,313.0,Albania,ALB,ALB,20201224
0.354924,0.012124,1565.0,Algeria,DZA,DZA,20201224
0.697403,0.030719,217.0,Angola,AGO,AGO,20201224
0.686857,0.004837,9246.0,Argentina,ARG,ARG,20201224
0.395449,0.040947,144.0,Armenia,ARM,ARM,20201224
0.773288,0.005357,6110.0,Australia,AUS,AUS,20201224
0.61464,0.00936,2706.0,Austria,AUT,AUT,20201224
0.393822,0.023131,466.0,Azerbaijan,AZE,AZE,20201224
0.786624,0.008687,2230.0,Bangladesh,BGD,BGD,20201224
0.517174,0.015779,1015.0,Belarus,BLR,BLR,20201224
0.680423,0.008778,2939.0,Belgium,BEL,BEL,20201224
0.718819,0.00917,2406.0,Bolivia,BOL,BOL,20201224
0.568946,0.022246,519.0,Bosnia and Herzegovina,BIH,BIH,20201224
0.755961,0.001968,47641.0,Brazil,BRA,BRA,20201224
0.443062,0.012453,1601.0,Bulgaria,BGR,BGR,20201224
0.517941,0.039728,158.0,Burkina Faso,BFA,BFA,20201224
0.670892,0.029972,249.0,Cambodia,KHM,KHM,20201224
0.407858,0.033652,215.0,Cameroon,CMR,CMR,20201224
0.777191,0.004193,9900.0,Canada,CAN,CAN,20201224
0.7219,0.006569,4650.0,Chile,CHL,CHL,20201224
0.753624,0.004232,10340.0,Colombia,COL,COL,20201224
0.822099,0.008412,2068.0,Costa Rica,CRI,CRI,20201224
0.566359,0.029573,286.0,C̫te d'Ivoire,CIV,CIV,20201224
0.541291,0.012556,1579.0,Croatia,HRV,HRV,20201224
0.57587,0.008575,3324.0,Czech Republic,CZE,CZE,20201224
0.330883,0.043737,119.0,Democratic Republic of the Congo,COD,COD,20201224
0.868187,0.004682,5238.0,Denmark,DNK,DNK,20201224
0.590917,0.013046,1424.0,Dominican Republic,DOM,DOM,20201224
0.707605,0.007364,3821.0,Ecuador,ECU,ECU,20201224
0.602984,0.005957,6761.0,Egypt,EGY,EGY,20201224
0.752328,0.010468,1734.0,El Salvador,SLV,SLV,20201224
0.738054,0.025185,308.0,Ethiopia,ETH,ETH,20201224
0.810023,0.010276,1476.0,Finland,FIN,FIN,20201224
0.500212,0.004134,14705.0,France,FRA,FRA,20201224
0.721898,0.003327,18155.0,Germany,DEU,DEU,20201224
0.639565,0.018904,651.0,Ghana,GHA,GHA,20201224
0.685096,0.008991,2681.0,Greece,GRC,GRC,20201224
0.801255,0.01008,1587.0,Guatemala,GTM,GTM,20201224
0.298367,0.039242,134.0,Haiti,HTI,HTI,20201224
0.767521,0.012754,1083.0,Honduras,HND,HND,20201224
0.614418,0.014324,1156.0,Hong Kong,HKG,HKG,20201224
0.475013,0.006641,5681.0,Hungary,HUN,HUN,20201224
0.688453,0.003498,17542.0,India,IND,IND,20201224
0.674918,0.005042,8648.0,Indonesia,IDN,IDN,20201224
0.546921,0.010658,2206.0,Iraq,IRQ,IRQ,20201224
0.792679,0.008435,2312.0,Ireland,IRL,IRL,20201224
0.74147,0.007573,3445.0,Israel,ISR,ISR,20201224
0.798721,0.003052,17300.0,Italy,ITA,ITA,20201224
0.693325,0.002689,29410.0,Japan,JPN,JPN,20201224
0.341964,0.012285,1507.0,Jordan,JOR,JOR,20201224
0.3311,0.019963,560.0,Kazakhstan,KAZ,KAZ,20201224
0.776802,0.010068,1712.0,Kenya,KEN,KEN,20201224
0.58359,0.024606,404.0,Kuwait,KWT,KWT,20201224
0.484573,0.03221,257.0,Kyrgyzstan,KGZ,KGZ,20201224
0.841585,0.029781,147.0,Laos,LAO,LAO,20201224
0.457103,0.019927,629.0,Lebanon,LBN,LBN,20201224
0.673264,0.01582,893.0,Libya,LBY,LBY,20201224
0.695653,0.008302,3089.0,Malaysia,MYS,MYS,20201224
0.484149,0.038102,175.0,Mali,MLI,MLI,20201224
0.82987,0.001987,35779.0,Mexico,MEX,MEX,20201224
0.506043,0.021707,537.0,Moldova,MDA,MDA,20201224
0.630275,0.014272,1148.0,Morocco,MAR,MAR,20201224
