smoothed_covid_vaccine,smoothed_covid_vaccine_se,sample_size,country,iso_code,gid_0,survey_date
0.009332,0.003059,986.0,Switzerland,CHE,CHE,20210106
0.008073,0.001788,2528.0,Taiwan,TWN,TWN,20210106
0.004831,0.001453,2284.0,Turkey,TUR,TUR,20210106
0.024378,0.002453,3961.0,United Kingdom,GBR,GBR,20210106
0.000951,0.000972,1007.0,Uruguay,URY,URY,20210106
0.029441,0.014203,142.0,Uzbekistan,UZB,UZB,20210106
0.015866,0.003645,1186.0,Venezuela,VEN,VEN,20210106
0.011682,0.001204,7926.0,Argentina,ARG,ARG,20210107
0.006185,0.001167,4500.0,Australia,AUS,AUS,20210107
0.005086,0.001608,1933.0,Austria,AUT,AUT,20210107
0.058296,0.007126,1086.0,Bangladesh,BGD,BGD,20210107
0.006717,0.002013,1743.0,Belgium,BEL,BEL,20210107
0.007373,0.001922,1956.0,Bolivia,BOL,BOL,20210107
0.004318,0.000364,32723.0,Brazil,BRA,BRA,20210107
0.018593,0.004478,922.0,Bulgaria,BGR,BGR,20210107
0.014843,0.001544,6249.0,Canada,CAN,CAN,20210107
0.005512,0.001309,3218.0,Chile,CHL,CHL,20210107
0.007445,0.000974,7818.0,Colombia,COL,COL,20210107
0.012143,0.003113,1268.0,Costa Rica,CRI,CRI,20210107
0.026969,0.005322,928.0,Croatia,HRV,HRV,20210107
0.068247,0.004801,2767.0,Czech Republic,CZE,CZE,20210107
0.014961,0.002085,3836.0,Denmark,DNK,DNK,20210107
0.010754,0.003104,1096.0,Dominican Republic,DOM,DOM,20210107
0.007381,0.001708,2459.0,Ecuador,ECU,ECU,20210107
0.020005,0.002432,3346.0,Egypt,EGY,EGY,20210107
0.001627,0.001218,1224.0,El Salvador,SLV,SLV,20210107
0.013349,0.003839,972.0,Finland,FIN,FIN,20210107
0.005411,0.000718,10392.0,France,FRA,FRA,20210107
0.016448,0.001181,11638.0,Germany,DEU,DEU,20210107
0.010941,0.002564,1667.0,Greece,GRC,GRC,20210107
0.003373,0.001721,1091.0,Guatemala,GTM,GTM,20210107
0.006849,0.008287,102.0,Haiti,HTI,HTI,20210107
0.004306,0.002338,838.0,Honduras,HND,HND,20210107
0.020332,0.005969,608.0,Hong Kong,HKG,HKG,20210107
0.013363,0.001732,4194.0,Hungary,HUN,HUN,20210107
