smoothed_twodoses,smoothed_twodoses_se,sample_size,country,iso_code,gid_0,survey_date
0.045653,0.006502,1044.0,Germany,DEU,DEU,20210119
0.017637,0.010383,162.0,Greece,GRC,GRC,20210119
0.01266,0.005455,423.0,Hungary,HUN,HUN,20210119
0.156993,0.017529,432.0,India,IND,IND,20210119
0.078107,0.018288,220.0,Indonesia,IDN,IDN,20210119
0.037676,0.013806,193.0,Ireland,IRL,IRL,20210119
0.270861,0.006788,4265.0,Israel,ISR,ISR,20210119
0.019929,0.003048,2128.0,Italy,ITA,ITA,20210119
0.119381,0.031524,128.0,Japan,JPN,JPN,20210119
0.055551,0.006929,1089.0,Mexico,MEX,MEX,20210119
0.01717,0.009626,173.0,Netherlands,NLD,NLD,20210119
0.029835,0.007391,525.0,Poland,POL,POL,20210119
0.033271,0.010432,265.0,Portugal,PRT,PRT,20210119
0.021469,0.005754,646.0,Romania,ROU,ROU,20210119
0.331108,0.022103,457.0,Russia,RUS,RUS,20210119
0.191781,0.025538,227.0,Saudi Arabia,SAU,SAU,20210119
0.003783,0.005116,147.0,Slovakia,SVK,SVK,20210119
0.009922,0.003757,746.0,Spain,ESP,ESP,20210119
0.032393,0.009554,340.0,Sweden,SWE,SWE,20210119
0.047868,0.021574,105.0,Switzerland,CHE,CHE,20210119
0.028002,0.008435,428.0,Turkey,TUR,TUR,20210119
0.094069,0.007518,1519.0,United Kingdom,GBR,GBR,20210119
0.091485,0.013478,459.0,Argentina,ARG,ARG,20210120
0.019823,0.010572,198.0,Austria,AUT,AUT,20210120
0.151828,0.02133,304.0,Brazil,BRA,BRA,20210120
0.071145,0.011139,538.0,Canada,CAN,CAN,20210120
0.088138,0.024797,126.0,Croatia,HRV,HRV,20210120
0.140181,0.019589,319.0,Czech Republic,CZE,CZE,20210120
0.027543,0.008508,378.0,Denmark,DNK,DNK,20210120
0.051096,0.007784,765.0,France,FRA,FRA,20210120
0.074106,0.007211,1226.0,Germany,DEU,DEU,20210120
0.020992,0.010345,192.0,Greece,GRC,GRC,20210120
0.016139,0.005705,492.0,Hungary,HUN,HUN,20210120
0.141455,0.015192,521.0,India,IND,IND,20210120
0.076501,0.016328,273.0,Indonesia,IDN,IDN,20210120
0.045243,0.013849,228.0,Ireland,IRL,IRL,20210120
0.292178,0.006413,4978.0,Israel,ISR,ISR,20210120
0.026233,0.003226,2454.0,Italy,ITA,ITA,20210120
0.115415,0.029158,143.0,Japan,JPN,JPN,20210120
0.054832,0.006384,1271.0,Mexico,MEX,MEX,20210120
0.01476,0.008275,223.0,Netherlands,NLD,NLD,20210120
0.035995,0.00745,618.0,Poland,POL,POL,20210120
0.07774,0.014085,324.0,Portugal,PRT,PRT,20210120
0.02614,0.005705,788.0,Romania,ROU,ROU,20210120
0.35493,0.020085,566.0,Russia,RUS,RUS,20210120
0.244164,0.02493,264.0,Saudi Arabia,SAU,SAU,20210120
0.006321,0.006034,175.0,Slovakia,SVK,SVK,20210120
0.016178,0.004187,880.0,Spain,ESP,ESP,20210120
0.035787,0.009128,416.0,Sweden,SWE,SWE,20210120
0.061847,0.021418,134.0,Switzerland,CHE,CHE,20210120
0.033761,0.008341,511.0,Turkey,TUR,TUR,20210120
0.089692,0.006802,1777.0,United Kingdom,GBR,GBR,20210120
0.124407,0.015641,454.0,Argentina,ARG,ARG,20210121
0.03437,0.013699,201.0,Austria,AUT,AUT,20210121
0.136742,0.032379,107.0,Bangladesh,BGD,BGD,20210121
0.09727,0.028341,105.0,Belgium,BEL,BEL,20210121
0.11253,0.014809,432.0,Brazil,BRA,BRA,20210121
0.075435,0.011215,567.0,Canada,CAN,CAN,20210121
0.052918,0.020012,126.0,Croatia,HRV,HRV,20210121
0.170703,0.020266,334.0,Czech Republic,CZE,CZE,20210121
0.043123,0.009923,383.0,Denmark,DNK,DNK,20210121
0.043668,0.006825,839.0,France,FRA,FRA,20210121
0.093551,0.007908,1290.0,Germany,DEU,DEU,20210121
0.024106,0.011212,192.0,Greece,GRC,GRC,20210121
