smoothed_pct_hes_wontwork,smoothed_hes_wontwork_se,sample_size,country,iso_code,gid_0,survey_date
0.269319,0.010879,1665.0,Canada,CAN,CAN,20210207
0.286907,0.01521,888.0,Chile,CHL,CHL,20210207
0.346788,0.010728,1970.0,Colombia,COL,COL,20210207
0.295806,0.032435,200.0,Costa Rica,CRI,CRI,20210207
0.329963,0.027171,301.0,Croatia,HRV,HRV,20210207
0.342909,0.015634,923.0,Czech Republic,CZE,CZE,20210207
0.244988,0.021924,387.0,Denmark,DNK,DNK,20210207
0.319502,0.026184,314.0,Dominican Republic,DOM,DOM,20210207
0.33266,0.016793,792.0,Ecuador,ECU,ECU,20210207
0.38362,0.015191,1019.0,Egypt,EGY,EGY,20210207
0.313921,0.024285,367.0,El Salvador,SLV,SLV,20210207
0.269275,0.033666,166.0,Finland,FIN,FIN,20210207
0.369452,0.007244,4442.0,France,FRA,FRA,20210207
0.254021,0.007474,3406.0,Germany,DEU,DEU,20210207
0.295617,0.027194,288.0,Ghana,GHA,GHA,20210207
0.300616,0.016222,801.0,Greece,GRC,GRC,20210207
0.306837,0.026523,312.0,Guatemala,GTM,GTM,20210207
0.354024,0.028062,298.0,Honduras,HND,HND,20210207
0.392661,0.032637,227.0,Hong Kong,HKG,HKG,20210207
0.28809,0.013482,1132.0,Hungary,HUN,HUN,20210207
0.175001,0.007164,2821.0,India,IND,IND,20210207
0.29278,0.011188,1659.0,Indonesia,IDN,IDN,20210207
0.240924,0.018969,509.0,Iraq,IRQ,IRQ,20210207
0.199661,0.025089,255.0,Ireland,IRL,IRL,20210207
0.236102,0.025879,271.0,Israel,ISR,ISR,20210207
0.233509,0.008329,2574.0,Italy,ITA,ITA,20210207
0.287937,0.00437,10741.0,Japan,JPN,JPN,20210207
0.351003,0.028658,284.0,Jordan,JOR,JOR,20210207
0.158234,0.024586,223.0,Kazakhstan,KAZ,KAZ,20210207
0.164894,0.020595,326.0,Kenya,KEN,KEN,20210207
0.26696,0.029236,229.0,Lebanon,LBN,LBN,20210207
0.23344,0.031448,185.0,Libya,LBY,LBY,20210207
0.357554,0.017215,776.0,Malaysia,MYS,MYS,20210207
0.26529,0.006253,4988.0,Mexico,MEX,MEX,20210207
0.196978,0.036311,122.0,Moldova,MDA,MDA,20210207
0.319929,0.034103,192.0,Morocco,MAR,MAR,20210207
0.227421,0.036979,129.0,Mozambique,MOZ,MOZ,20210207
0.232422,0.028514,221.0,Nepal,NPL,NPL,20210207
0.244469,0.014627,866.0,Netherlands,NLD,NLD,20210207
0.225292,0.018949,488.0,New Zealand,NZL,NZL,20210207
0.269477,0.035307,159.0,Nicaragua,NIC,NIC,20210207
0.176684,0.016039,566.0,Nigeria,NGA,NGA,20210207
0.180124,0.016766,534.0,Norway,NOR,NOR,20210207
0.205663,0.019432,433.0,Pakistan,PAK,PAK,20210207
0.338656,0.044718,108.0,Palestine,PSE,PSE,20210207
0.187086,0.0298,175.0,Panama,PAN,PAN,20210207
0.354577,0.030396,249.0,Paraguay,PRY,PRY,20210207
0.347898,0.012977,1349.0,Peru,PER,PER,20210207
0.314407,0.011629,1596.0,Philippines,PHL,PHL,20210207
0.299887,0.013764,1110.0,Poland,POL,POL,20210207
0.206638,0.011599,1222.0,Portugal,PRT,PRT,20210207
0.300584,0.028336,260.0,"Puerto Rico, U.S.",PRI,PRI,20210207
0.214059,0.01438,816.0,Romania,ROU,ROU,20210207
0.186985,0.00958,1649.0,Russia,RUS,RUS,20210207
0.273928,0.024562,329.0,Saudi Arabia,SAU,SAU,20210207
0.224547,0.020561,414.0,Serbia,SRB,SRB,20210207
0.293573,0.045042,104.0,Singapore,SGP,SGP,20210207
0.254184,0.02095,434.0,Slovakia,SVK,SVK,20210207
0.258155,0.03192,190.0,Slovenia,SVN,SVN,20210207
0.262471,0.015437,816.0,South Africa,ZAF,ZAF,20210207
0.296512,0.018127,637.0,South Korea,KOR,KOR,20210207
0.252887,0.00973,1998.0,Spain,ESP,ESP,20210207
0.208202,0.037931,114.0,Sri Lanka,LKA,LKA,20210207
0.134173,0.02745,152.0,Sudan,SDN,SDN,20210207
0.222958,0.011435,1327.0,Sweden,SWE,SWE,20210207
0.279665,0.01773,648.0,Switzerland,CHE,CHE,20210207
0.418428,0.010042,2414.0,Taiwan,TWN,TWN,20210207
0.377808,0.012079,1612.0,Thailand,THA,THA,20210207
0.374336,0.023386,430.0,Tunisia,TUN,TUN,20210207
0.406354,0.012318,1592.0,Turkey,TUR,TUR,20210207
0.205945,0.00933,1882.0,Ukraine,UKR,UKR,20210207
0.16986,0.031424,143.0,United Arab Emirates,ARE,ARE,20210207
0.204855,0.0121,1115.0,United Kingdom,GBR,GBR,20210207
0.284315,0.020234,503.0,Uruguay,URY,URY,20210207
0.261385,0.043347,117.0,Uzbekistan,UZB,UZB,20210207
0.281654,0.01712,696.0,Venezuela,VEN,VEN,20210207
0.32822,0.008933,2760.0,Vietnam,VNM,VNM,20210207
0.226079,0.043816,123.0,Afghanistan,AFG,AFG,20210208
0.300243,0.038869,139.0,Albania,ALB,ALB,20210208
0.362494,0.018202,705.0,Algeria,DZA,DZA,20210208
0.247268,0.00744,3366.0,Argentina,ARG,ARG,20210208
0.250182,0.010288,1763.0,Australia,AUS,AUS,20210208
0.225948,0.015082,777.0,Austria,AUT,AUT,20210208
0.299268,0.037267,152.0,Azerbaijan,AZE,AZE,20210208
0.262705,0.017134,665.0,Bangladesh,BGD,BGD,20210208
0.220311,0.019956,449.0,Belarus,BLR,BLR,20210208
0.308825,0.01565,876.0,Belgium,BEL,BEL,20210208
0.27998,0.015119,885.0,Bolivia,BOL,BOL,20210208
0.230135,0.028542,221.0,Bosnia and Herzegovina,BIH,BIH,20210208
0.252162,0.004879,7959.0,Brazil,BRA,BRA,20210208
0.250465,0.014908,838.0,Bulgaria,BGR,BGR,20210208
0.324428,0.043192,116.0,Cameroon,CMR,CMR,20210208
0.266735,0.008949,2446.0,Canada,CAN,CAN,20210208
