pct_hes_dontlike,hes_dontlike_se,pct_hes_dontlike_unw,hes_dontlike_se_unw,sample_size,country,iso_code,gid_0,survey_date
0.04384,0.005858,0.04401,0.005847,1227.0,Taiwan,TWN,TWN,20210206
0.031656,0.005715,0.027778,0.006088,828.0,Thailand,THA,THA,20210206
0.048937,0.021079,0.090909,0.015819,187.0,Tunisia,TUN,TUN,20210206
0.035304,0.007744,0.050868,0.006504,806.0,Turkey,TUR,TUR,20210206
0.052491,0.007509,0.055135,0.007337,925.0,Ukraine,UKR,UKR,20210206
0.08548,0.011423,0.075047,0.012122,533.0,United Kingdom,GBR,GBR,20210206
0.061723,0.012086,0.038911,0.015041,257.0,Uruguay,URY,URY,20210206
0.055852,0.011318,0.047753,0.012188,356.0,Venezuela,VEN,VEN,20210206
0.022631,0.004565,0.030389,0.003955,1415.0,Vietnam,VNM,VNM,20210206
0.131595,0.02247,0.141079,0.021821,241.0,Algeria,DZA,DZA,20210207
0.046611,0.006272,0.045372,0.006353,1102.0,Argentina,ARG,ARG,20210207
0.05206,0.008777,0.048414,0.009084,599.0,Australia,AUS,AUS,20210207
0.114452,0.019476,0.122807,0.018891,285.0,Austria,AUT,AUT,20210207
0.067626,0.017465,0.079167,0.016242,240.0,Bangladesh,BGD,BGD,20210207
0.112044,0.020911,0.081395,0.024121,172.0,Belarus,BLR,BLR,20210207
0.114224,0.017685,0.105611,0.018304,303.0,Belgium,BEL,BEL,20210207
0.054881,0.013623,0.054152,0.013709,277.0,Bolivia,BOL,BOL,20210207
0.061482,0.004282,0.049689,0.004734,2576.0,Brazil,BRA,BRA,20210207
0.081903,0.01574,0.080268,0.015885,299.0,Bulgaria,BGR,BGR,20210207
0.110491,0.009857,0.095506,0.010514,890.0,Canada,CAN,CAN,20210207
0.050866,0.010461,0.051454,0.010404,447.0,Chile,CHL,CHL,20210207
0.044722,0.006946,0.049332,0.00663,973.0,Colombia,COL,COL,20210207
0.181115,0.027984,0.144654,0.030638,159.0,Croatia,HRV,HRV,20210207
0.126722,0.015815,0.131291,0.015578,457.0,Czech Republic,CZE,CZE,20210207
0.147034,0.024113,0.134328,0.025041,201.0,Denmark,DNK,DNK,20210207
0.063015,0.017607,0.050955,0.019455,157.0,Dominican Republic,DOM,DOM,20210207
0.043735,0.010301,0.043367,0.010342,392.0,Ecuador,ECU,ECU,20210207
0.093773,0.01303,0.090535,0.013237,486.0,Egypt,EGY,EGY,20210207
0.084066,0.018908,0.073298,0.020131,191.0,El Salvador,SLV,SLV,20210207
0.092654,0.006041,0.092993,0.006031,2312.0,France,FRA,FRA,20210207
0.091171,0.006916,0.090856,0.006927,1728.0,Germany,DEU,DEU,20210207
0.091786,0.024786,0.093525,0.024578,139.0,Ghana,GHA,GHA,20210207
0.063803,0.011487,0.05665,0.012144,406.0,Greece,GRC,GRC,20210207
0.07667,0.022065,0.075862,0.022172,145.0,Guatemala,GTM,GTM,20210207
0.114254,0.021015,0.075472,0.025308,159.0,Honduras,HND,HND,20210207
0.044688,0.015058,0.026316,0.019437,114.0,Hong Kong,HKG,HKG,20210207
0.11894,0.012587,0.108197,0.013118,610.0,Hungary,HUN,HUN,20210207
0.067157,0.006579,0.063004,0.006777,1365.0,India,IND,IND,20210207
0.076644,0.009292,0.076074,0.009324,815.0,Indonesia,IDN,IDN,20210207
0.097857,0.019716,0.101695,0.019382,236.0,Iraq,IRQ,IRQ,20210207
0.095559,0.025117,0.090909,0.025686,132.0,Ireland,IRL,IRL,20210207
0.143786,0.032917,0.172932,0.03054,133.0,Israel,ISR,ISR,20210207
0.055397,0.006238,0.055183,0.006249,1341.0,Italy,ITA,ITA,20210207
0.087252,0.003954,0.087289,0.003953,5098.0,Japan,JPN,JPN,20210207
0.149987,0.031578,0.176871,0.02955,147.0,Jordan,JOR,JOR,20210207
0.10879,0.030649,0.11215,0.030243,107.0,Kazakhstan,KAZ,KAZ,20210207
0.036661,0.017945,0.055215,0.014765,163.0,Kenya,KEN,KEN,20210207
0.070556,0.025367,0.078947,0.02409,114.0,Lebanon,LBN,LBN,20210207
0.027103,0.010646,0.044855,0.008352,379.0,Malaysia,MYS,MYS,20210207
0.067466,0.004854,0.061141,0.005082,2437.0,Mexico,MEX,MEX,20210207
0.02929,0.024017,0.065421,0.016378,107.0,Nepal,NPL,NPL,20210207
0.099971,0.013982,0.090261,0.014637,421.0,Netherlands,NLD,NLD,20210207
