,Country
0,Austria
1,Belgium
2,Czech Republic
3,Denmark
4,Finland
5,France
6,Germany
7,Greece
8,Hungary
9,Italy
10,Netherlands
11,Norway
12,Poland
13,Portugal
14,Slovakia
15,Slovenia
16,Spain
17,Sweden
18,Switzerland
