,CLI,Flu,Mask,Contact,Finance,Anosmia,Vaccine_acpt,Covid_Vaccine,Trust_fam,Trust_Healthcare,Trust_who,Trust_govt,Trust_politicians,Twodoses,concerned_sideeffects,hesitant_sideeffects,modified_acceptance,access_wash,wash_hands_24h_3to6,wash_hands_24h_7orMore,cmty_covid
59,0.018078,0.019284,0.045294,0.7007,0.239659,0.037892,,,,,,,,,,,,0.996846,0.325665,0.594385,0.104207
60,0.015163,0.016217,0.042887,0.703207,0.233658,0.035628,,,,,,,,,,,,0.996986,0.319548,0.606153,0.102554
61,0.016888,0.017799,0.038346,0.703635,0.238672,0.033043,,,,,,,,,,,,0.997551,0.31791,0.608388,0.099677
62,0.016786,0.017961,0.038743,0.704166,0.2425,0.033135,,,,,,,,,,,,0.996861,0.31748,0.60661,0.095915
63,0.014573,0.016091,0.037236,0.698768,0.245599,0.034087,,,,,,,,,,,,0.996637,0.317418,0.606745,0.093973
64,0.014732,0.016582,0.041006,0.6964,0.251295,0.035126,,,,,,,,,,,,0.996038,0.317978,0.604487,0.092724
65,0.017798,0.019147,0.041579,0.697005,0.247144,0.033316,,,,,,,,,,,,0.995642,0.323975,0.601057,0.09332
66,0.019137,0.020528,0.043634,0.692377,0.242584,0.030954,,,,,,,,,,,,0.996194,0.324457,0.598819,0.096377
67,0.021729,0.023219,0.043869,0.686672,0.24535,0.032627,,,,,,,,,,,,0.996471,0.331905,0.590679,0.094711
68,0.022375,0.023663,0.045279,0.686416,0.239622,0.034679,,,,,,,,,,,,0.993111,0.331291,0.587238,0.099256
69,0.02225,0.023413,0.046473,0.684887,0.238224,0.035483,,,,,,,,,,,,0.99258,0.335771,0.584018,0.100831
70,0.022106,0.022715,0.04616,0.683906,0.239375,0.036215,,,,,,,,,,,,0.992591,0.336656,0.580613,0.103652
71,0.019971,0.019821,0.040655,0.684786,0.235356,0.032794,,,,,,,,,,,,0.993125,0.332345,0.587899,0.100937
72,0.017361,0.017311,0.036425,0.68716,0.236007,0.030807,,,,,,,,,,,,0.994044,0.325153,0.594653,0.098255
73,0.016992,0.016724,0.038137,0.699291,0.242631,0.033709,,,,,,,,,,,,0.993605,0.327379,0.591498,0.095276
74,0.018061,0.018075,0.038631,0.704527,0.241773,0.032294,,,,,,,,,,,,0.993542,0.316041,0.600391,0.094915
75,0.017181,0.017229,0.036756,0.712535,0.241675,0.031194,,,,,,,,,,,,0.996306,0.31857,0.60307,0.091839
76,0.017835,0.018005,0.032536,0.713109,0.246691,0.030092,,,,,,,,,,,,0.997867,0.316865,0.606987,0.088468
